,Unnamed: 0,Nursing Home Name,State,County,Connected_to,Strength,Connected_county,Connected_state
0,0,Capitol View Transitional Care Center,MN,Ramsey ,Lyngblomsten Care Center,3,MN,Ramsey 
1,1,Capitol View Transitional Care Center,MN,Ramsey ,St Gertrudes Health and Rehabilitation Center,3,MN,Scott 
2,2,Capitol View Transitional Care Center,MN,Ramsey ,Southview Acres Healthcare Center,3,MN,Dakota 
3,3,Capitol View Transitional Care Center,MN,Ramsey ,Gables Of Boutwells Landing,2,MN,Washington 
4,4,Capitol View Transitional Care Center,MN,Ramsey ,St Anthony Park Home,2,MN,Ramsey 
5,5,Capitol View Transitional Care Center,MN,Ramsey ,Charter House,2,MN,Olmsted 
10,10,Capitol View Transitional Care Center,MN,Ramsey ,Centracare Health System - Melrose Pine Villa C C,1,MN,Stearns 
11,11,Capitol View Transitional Care Center,MN,Ramsey ,Minnesota Masonic Home Care Center,1,MN,Hennepin 
12,12,Capitol View Transitional Care Center,MN,Ramsey ,Mayo Clinic Health System - Lake City,1,MN,Goodhue 
13,13,Capitol View Transitional Care Center,MN,Ramsey ,Glencoe Regional Health Services,1,MN,McLeod 
14,14,Capitol View Transitional Care Center,MN,Ramsey ,Redeemer Residence,1,MN,Hennepin 
15,15,Capitol View Transitional Care Center,MN,Ramsey ,The Gardens at Cannon Falls,1,MN,Goodhue 
16,16,Capitol View Transitional Care Center,MN,Ramsey ,The Estates at Lynnhurst,1,MN,Ramsey 
17,17,Capitol View Transitional Care Center,MN,Ramsey ,Cerenity Care Center - White Bear Lake,1,MN,Ramsey 
18,18,Capitol View Transitional Care Center,MN,Ramsey ,New Harmony Care and Rehab Center,1,MN,Ramsey 
19,19,Capitol View Transitional Care Center,MN,Ramsey ,Mn Veterans Home Minneapolis,1,MN,Hennepin 
20,20,Capitol View Transitional Care Center,MN,Ramsey ,Birchwood Health Care Center,1,MN,Washington 
21,21,Capitol View Transitional Care Center,MN,Ramsey ,West Wind Village,1,MN,Stevens 
22,22,Capitol View Transitional Care Center,MN,Ramsey ,Cerenity - Marian Of St Paul ,1,MN,Ramsey 
23,23,Capitol View Transitional Care Center,MN,Ramsey ,Galtier A Villa Center,1,MN,Ramsey 
24,24,Capitol View Transitional Care Center,MN,Ramsey ,Essentia Health Virginia Care Cent,1,MN,St Louis 
25,25,Capitol View Transitional Care Center,MN,Ramsey ,Presbyterian Homes Of North Oaks,1,MN,Ramsey 
26,26,Capitol View Transitional Care Center,MN,Ramsey ,St Therese Tcu North,1,MN,Hennepin 
27,27,Capitol View Transitional Care Center,MN,Ramsey ,St Therese Home,1,MN,Hennepin 
28,28,Capitol View Transitional Care Center,MN,Ramsey ,Woodbury Health Care Center,1,MN,Washington 
29,29,Capitol View Transitional Care Center,MN,Ramsey ,Presbyterian Homes Of Arden Hills,1,MN,Ramsey 
30,30,Capitol View Transitional Care Center,MN,Ramsey ,Centracare Health Paynesville Koronis Manor Cc,1,MN,Stearns 
31,31,Capitol View Transitional Care Center,MN,Ramsey ,St Anthony Health and Rehabilitation,1,MN,Ramsey 
35,35,Charter House,MN,Olmsted ,Samaritan Bethany Home On Eighth,3,MN,Olmsted 
36,36,Charter House,MN,Olmsted ,Capitol View Transitional Care Center,2,MN,Ramsey 
37,37,Charter House,MN,Olmsted ,Rochester East Health Services,2,MN,Olmsted 
38,38,Charter House,MN,Olmsted ,Spring Valley Care Center,2,MN,Fillmore 
39,39,Charter House,MN,Olmsted ,Rochester Rehabilitation and Living Center,2,MN,Olmsted 
42,42,Charter House,MN,Olmsted ,Rochester Health Services West,1,MN,Olmsted 
43,43,Charter House,MN,Olmsted ,Lake Winona Manor,1,MN,Winona 
44,44,Charter House,MN,Olmsted ,Mayo Clinic Health System - Lake City,1,MN,Goodhue 
45,45,Charter House,MN,Olmsted ,St Johns Lutheran Home,1,MN,Freeborn 
