
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,590,9,9,9,9,0,0,0,0,0,0,1
1,589,9,9,0,9,0,0,0,0,0,0,3
2,590,10,10,1,7,3,0,0,0,0,0,3
3,590,10,10,0,3,7,0,0,0,0,0,3
4,588,12,12,2,3,9,3,0,0,0,0,3
5,587,13,13,1,3,10,6,1,0,0,0,3
6,585,14,14,1,3,11,6,3,0,0,0,4
7,583,17,17,3,6,11,6,4,0,0,0,4
8,578,22,22,5,8,14,6,5,0,0,0,4
9,573,27,27,5,12,15,6,5,0,0,0,4
10,568,32,32,5,15,17,7,7,0,0,0,4
11,566,34,34,2,13,21,8,7,0,0,0,4
12,563,33,36,2,8,25,7,7,3,0,3,5
13,561,32,39,3,7,25,7,7,7,0,7,5
14,558,33,42,3,7,26,13,6,9,0,9,5
15,553,36,47,5,11,25,15,6,10,0,10,6
16,551,38,50,3,11,27,17,6,11,0,11,6
17,541,47,59,9,19,28,18,6,11,0,11,7
18,535,50,65,6,21,29,18,6,14,2,12,8
19,527,58,74,9,20,38,18,6,15,3,12,8
20,518,65,83,9,23,42,20,6,17,4,13,8
21,508,72,93,10,25,47,25,8,20,6,14,8
22,502,71,99,6,24,47,24,8,27,10,17,8
23,496,73,105,6,20,53,28,8,31,11,20,8
24,485,79,114,9,22,57,32,8,34,11,23,10
25,474,88,126,12,31,57,35,12,35,11,24,14
26,470,91,134,8,26,65,39,11,38,11,27,16
27,464,98,142,8,23,75,41,11,39,11,28,16
28,453,106,153,11,30,76,46,15,42,12,30,16
29,442,106,164,11,28,78,44,17,52,13,39,17
30,432,111,175,11,29,82,42,17,58,15,43,17
31,423,113,184,9,32,81,43,22,65,17,48,17
32,414,116,193,9,31,85,45,24,71,20,51,17
33,400,119,206,13,35,84,44,21,81,23,58,18
34,389,125,218,12,35,90,47,22,87,27,60,18
35,380,130,226,8,32,98,52,23,90,28,62,19
36,371,127,235,9,27,100,54,21,102,31,71,20
37,359,129,248,13,32,97,55,20,113,36,77,20
38,353,130,254,6,30,100,62,22,117,37,80,21
39,338,133,270,16,29,104,63,16,130,42,88,21
40,331,130,277,7,32,98,61,16,140,47,93,21
41,323,131,285,8,29,102,63,24,146,49,97,22
42,314,130,295,10,23,107,55,25,156,53,103,23
43,304,132,306,11,29,103,55,27,165,60,105,23
44,295,131,315,9,33,98,59,29,175,66,109,23
45,288,127,322,7,28,99,56,26,186,70,116,23
46,283,119,327,5,21,98,50,24,199,74,125,23
47,273,121,337,10,25,96,50,28,207,78,129,23
48,267,119,343,6,23,96,55,27,215,85,130,23
49,258,110,351,8,25,85,51,20,232,89,143,24
50,254,111,356,5,23,88,58,17,236,91,145,24
51,248,104,362,6,20,84,51,17,247,96,151,26
52,246,93,366,4,16,77,45,15,262,103,159,26
53,239,95,373,7,18,77,44,20,267,104,163,26
54,235,93,377,4,16,77,46,20,272,105,167,27
55,230,84,382,5,16,68,39,18,284,111,173,30
56,228,78,387,5,15,63,34,18,295,116,179,30
57,220,80,395,8,19,61,33,18,300,118,182,31
58,218,75,398,3,16,59,28,21,307,121,186,33
59,212,77,406,8,21,56,28,19,313,123,190,33
60,209,72,408,2,16,56,28,18,319,125,194,35
61,207,68,412,4,13,55,28,13,327,129,198,36
62,201,67,419,7,16,51,26,14,335,134,201,36
63,197,67,423,4,14,53,29,14,339,136,203,37
64,194,64,427,4,10,54,27,13,345,139,206,38
65,191,64,431,4,10,54,29,13,349,140,209,38
66,188,60,433,2,10,50,31,13,355,142,213,39
67,186,59,436,3,9,50,32,12,359,143,216,39
68,183,56,438,2,8,48,29,12,364,145,219,40
69,182,54,439,1,8,46,30,12,367,145,222,41
70,180,50,442,3,8,42,27,11,374,150,224,41
71,177,46,445,3,7,39,23,9,381,152,229,42
72,175,44,448,3,9,35,22,8,385,154,231,43
73,174,41,450,2,11,30,21,8,390,157,233,43
74,171,34,452,2,9,25,16,5,398,160,238,46
75,174,31,452,0,6,25,13,5,401,162,239,46
76,174,29,452,0,3,26,15,5,403,163,240,46
77,173,26,453,1,3,23,15,4,407,165,242,46
78,170,25,456,3,4,21,15,3,410,167,243,47
79,170,25,457,1,5,20,15,3,411,167,244,47
80,169,22,458,1,3,19,13,3,414,169,245,48
81,170,18,458,0,2,16,11,1,418,171,247,48
82,170,18,458,0,1,17,11,4,418,171,247,48
83,168,18,459,1,2,16,10,5,418,171,247,50
84,169,15,460,1,2,13,7,5,421,173,248,52
85,171,12,460,0,1,11,4,5,424,175,249,52
86,170,11,461,1,2,9,3,5,426,176,250,52
87,168,12,463,2,4,8,3,5,427,177,250,52
88,167,12,464,1,4,8,2,5,428,178,250,53
89,167,13,465,1,3,10,2,5,428,178,250,53
90,166,11,466,1,2,9,3,2,431,178,253,53
91,165,11,467,1,3,8,5,1,432,178,254,53
92,164,11,468,1,4,7,6,1,433,179,254,53
93,164,11,468,0,2,9,6,1,433,179,254,53
94,164,10,468,0,1,9,5,1,434,180,254,54
95,165,9,468,0,0,9,6,1,435,181,254,54
96,164,9,469,1,1,8,6,2,435,181,254,55
97,164,10,470,1,2,8,6,2,435,181,254,55
98,163,10,471,1,3,7,5,2,436,181,255,55
99,163,8,471,0,1,7,3,2,438,182,256,55
100,163,6,471,0,0,6,2,1,440,183,257,56
101,164,6,471,0,0,6,3,2,440,183,257,56
102,164,5,471,0,0,5,3,2,440,183,257,57
103,165,3,471,0,0,3,1,2,442,185,257,57
104,165,2,471,0,0,2,1,1,443,185,258,57
105,165,2,471,0,0,2,1,1,443,185,258,57
106,165,2,471,0,0,2,1,1,443,185,258,57
107,165,2,471,0,0,2,1,1,443,185,258,58
108,166,2,471,0,0,2,1,1,443,185,258,58
109,165,1,471,0,0,1,1,0,444,185,259,59
110,166,0,471,0,0,0,0,0,445,186,259,59
111,165,0,471,0,0,0,0,0,445,186,259,60
112,166,0,471,0,0,0,0,0,445,186,259,61
113,167,0,471,0,0,0,0,0,445,186,259,62
114,168,0,471,0,0,0,0,0,445,186,259,63
115,169,0,471,0,0,0,0,0,445,186,259,63
116,167,1,472,1,1,0,0,0,445,186,259,64
117,168,1,472,0,1,0,0,0,445,186,259,64
118,168,1,472,0,1,0,0,0,445,186,259,64
119,168,1,472,0,1,0,0,0,445,186,259,64
120,168,1,472,0,0,1,0,0,445,186,259,64
121,168,1,472,0,0,1,0,0,445,186,259,64
122,168,1,472,0,0,1,1,0,445,186,259,64
123,168,1,472,0,0,1,1,0,445,186,259,64
124,168,1,472,0,0,1,1,0,445,186,259,64
125,167,2,473,1,1,1,1,0,445,186,259,65
126,168,2,473,0,1,1,1,0,445,186,259,66
127,169,2,473,0,1,1,1,0,445,186,259,66
128,169,2,473,0,0,2,1,0,445,186,259,67
129,170,2,473,0,0,2,1,0,445,186,259,68
130,171,1,473,0,0,1,1,0,446,186,260,69
131,172,1,473,0,0,1,1,0,446,186,260,69
132,171,2,474,1,1,1,1,0,446,186,260,69
133,171,2,474,0,1,1,1,0,446,186,260,69
134,171,2,474,0,0,2,1,0,446,186,260,69
135,170,2,474,0,0,2,1,0,446,186,260,70
136,170,2,474,0,0,2,2,0,446,186,260,72
137,172,2,474,0,0,2,2,0,446,186,260,72
138,172,1,474,0,0,1,1,0,447,186,261,72
139,172,1,474,0,0,1,1,0,447,186,261,72
140,172,1,474,0,0,1,1,0,447,186,261,74
141,173,2,475,1,1,1,1,0,447,186,261,74
142,173,2,475,0,1,1,1,0,447,186,261,74
143,173,2,475,0,1,1,1,0,447,186,261,74
144,172,2,476,1,2,0,0,0,448,186,262,74
145,171,3,477,1,2,1,0,0,448,186,262,75
146,171,4,478,1,3,1,0,0,448,186,262,75
147,170,5,479,1,3,2,1,0,448,186,262,75
148,170,5,479,0,3,2,1,0,448,186,262,75
149,169,6,480,1,3,3,1,1,448,186,262,75
150,169,6,480,0,2,4,1,1,448,186,262,75
151,169,6,480,0,1,5,2,1,448,186,262,75
152,169,6,480,0,0,6,3,1,448,186,262,75
153,169,6,480,0,0,6,3,2,448,186,262,75
154,168,6,481,1,1,5,2,3,448,186,262,76
155,169,6,481,0,1,5,2,3,448,186,262,76
156,169,6,481,0,0,6,2,3,448,186,262,76
157,169,5,481,0,0,5,2,2,449,186,263,77
158,170,5,481,0,0,5,3,2,449,186,263,77
159,169,5,482,1,1,4,2,2,450,186,264,77
160,169,4,482,0,1,3,1,2,451,186,265,77
161,168,3,483,1,1,2,0,1,452,186,266,78
162,169,2,483,0,1,1,0,0,453,186,267,78
163,168,2,483,0,1,1,1,0,453,186,267,79
164,169,2,483,0,1,1,1,0,453,186,267,80
165,170,2,483,0,0,2,1,0,453,186,267,80
166,170,2,483,0,0,2,1,0,453,186,267,80
167,168,4,485,2,2,2,2,0,453,186,267,80
168,168,4,485,0,2,2,2,0,453,186,267,80
169,168,4,485,0,1,3,2,0,453,186,267,80
170,168,4,485,0,0,4,2,0,453,186,267,80
171,168,3,485,0,0,3,2,0,454,186,268,80
172,168,3,485,0,0,3,3,0,454,186,268,80
173,168,3,485,0,0,3,3,0,454,186,268,80
174,168,3,485,0,0,3,3,0,454,186,268,80
175,168,2,485,0,0,2,2,0,455,187,268,80
176,168,2,485,0,0,2,2,0,455,187,268,80
177,168,2,485,0,0,2,2,0,455,187,268,80
178,168,2,485,0,0,2,2,0,455,187,268,80
179,168,1,485,0,0,1,1,0,456,187,269,80
