Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,592.33,7.44,7.44,7.44,7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.23
1,590.82,8.86,8.86,1.42,8.86,0.0,0.0,0.0,0.0,0.0,0.0,0.55
2,589.23,10.46,10.46,1.6,8.1,2.36,0.0,0.0,0.0,0.0,0.0,0.86
3,587.25,12.42,12.42,1.96,7.32,5.1,0.0,0.0,0.0,0.0,0.0,1.19
4,584.82,14.9,14.9,2.48,5.92,8.98,1.46,0.9,0.0,0.0,0.0,1.47
5,581.69,18.05,18.05,3.15,7.58,10.47,3.14,1.96,0.0,0.0,0.0,1.73
6,578.1,21.49,21.49,3.44,9.12,12.37,5.49,3.49,0.0,0.0,0.0,2.14
7,574.42,25.24,25.25,3.76,10.17,15.07,6.43,4.04,0.0,0.0,0.0,2.48
8,570.32,29.42,29.44,4.19,11.44,17.98,7.66,4.71,0.0,0.0,0.0,2.74
9,565.53,34.19,34.22,4.78,12.59,21.6,9.39,5.67,0.0,0.0,0.0,3.02
10,560.06,39.67,39.72,5.5,14.21,25.46,11.23,6.74,0.0,0.0,0.0,3.29
11,554.73,44.86,44.96,5.24,15.4,29.46,13.66,7.88,0.0,0.0,0.0,3.7
12,548.67,48.64,51.16,6.2,16.71,31.93,14.82,8.2,2.36,0.0,2.36,4.03
13,542.23,52.31,57.7,6.54,18.21,34.1,15.76,8.44,5.1,0.0,5.1,4.39
14,535.79,54.87,64.25,6.55,19.09,35.78,16.63,8.45,8.98,0.0,8.98,4.75
15,528.73,60.28,71.31,7.06,20.29,39.99,19.03,9.45,10.47,0.07,10.4,5.27
16,521.89,65.39,78.41,7.1,20.84,44.55,21.64,10.52,12.34,0.32,12.02,5.65
17,514.17,70.51,86.31,7.9,22.17,48.34,23.85,11.4,14.96,0.9,14.06,6.01
18,506.56,75.2,94.02,7.71,22.63,52.57,26.33,12.45,17.72,1.75,15.97,6.53
19,498.62,79.74,102.24,8.22,23.74,56.0,28.14,13.52,21.23,3.05,18.18,6.94
20,490.24,84.23,110.78,8.54,25.0,59.23,30.26,14.61,24.93,4.3,20.63,7.54
21,482.06,88.59,119.35,8.57,25.37,63.22,32.41,15.37,28.8,5.91,22.89,8.09
22,472.79,93.08,128.89,9.54,26.7,66.38,33.85,16.16,33.52,7.63,25.89,8.71
23,464.48,96.69,137.58,8.69,27.13,69.56,35.75,17.37,38.32,9.36,28.96,9.24
24,455.32,100.33,147.01,9.43,27.34,72.99,37.36,18.19,43.72,11.57,32.15,9.91
25,446.32,103.82,156.43,9.42,27.96,75.86,38.88,19.02,49.3,13.84,35.46,10.53
26,436.24,107.75,166.88,10.45,29.14,78.61,40.61,19.96,55.54,16.3,39.24,11.08
27,427.19,110.51,176.28,9.4,29.56,80.95,42.29,20.44,61.79,18.47,43.32,11.68
28,417.46,113.56,186.43,10.15,29.92,83.64,43.8,21.09,68.68,21.0,47.68,12.07
29,407.64,116.37,196.39,9.96,30.07,86.3,44.99,21.75,75.45,23.52,51.93,12.71
30,398.47,118.65,206.07,9.68,29.46,89.19,46.49,22.66,82.36,26.06,56.3,13.34
31,388.23,120.94,216.68,10.61,30.59,90.35,47.7,22.89,90.27,28.84,61.43,14.05
32,378.27,123.07,227.07,10.39,30.87,92.2,49.04,23.58,98.07,31.67,66.4,14.81
33,368.97,124.54,236.87,9.8,30.86,93.68,49.96,23.85,105.93,34.63,71.3,15.59
34,360.02,124.85,246.47,9.6,30.23,94.62,50.75,23.89,114.74,37.92,76.82,16.25
35,350.54,125.85,256.32,9.85,29.77,96.08,51.46,24.1,123.11,41.13,81.98,17.07
36,341.88,125.69,265.59,9.27,28.89,96.8,52.0,24.36,132.01,44.67,87.34,17.85
37,333.12,126.07,274.97,9.38,28.52,97.55,52.98,24.7,140.55,48.01,92.54,18.5
38,324.41,125.32,284.1,9.13,28.05,97.27,53.08,24.88,149.85,51.66,98.19,19.34
39,315.66,125.05,293.52,9.42,28.14,96.91,53.33,24.67,159.07,55.43,103.64,20.04
40,307.99,123.14,301.75,8.23,27.38,95.76,53.12,24.33,168.78,59.57,109.21,20.64
41,300.1,121.76,310.04,8.29,26.3,95.46,53.08,24.05,177.89,63.35,114.54,21.44
42,292.84,119.66,317.95,7.91,25.14,94.52,52.19,23.9,187.46,67.61,119.85,22.1
43,285.88,117.43,325.41,7.46,24.4,93.03,51.96,23.81,196.73,71.52,125.21,22.76
44,279.52,113.92,332.28,6.87,22.74,91.18,51.05,23.41,206.54,75.98,130.56,23.53
45,272.92,110.87,339.45,7.17,21.89,88.98,49.45,22.98,216.32,79.87,136.45,24.22
46,266.77,107.46,346.16,6.71,21.03,86.43,48.79,22.07,226.03,84.1,141.93,24.79
47,260.81,104.14,352.52,6.36,20.17,83.97,47.54,21.67,235.26,88.2,147.06,25.45
48,255.49,100.34,358.4,5.88,19.06,81.28,46.04,21.06,244.39,92.17,152.22,26.16
49,250.5,96.6,363.99,5.59,18.0,78.6,44.43,20.55,253.27,96.02,157.25,26.87
50,245.79,92.86,369.3,5.31,17.31,75.55,43.3,19.63,261.92,99.65,162.27,27.47
51,241.34,88.53,374.18,4.88,16.08,72.45,41.74,18.62,270.73,103.64,167.09,28.14
52,236.99,84.52,379.06,4.88,15.29,69.23,39.99,17.47,279.3,107.58,171.72,28.67
53,232.93,80.88,383.53,4.47,14.53,66.35,38.9,16.57,286.98,110.9,176.08,29.39
54,229.34,76.63,387.71,4.18,13.75,62.88,37.02,15.68,295.12,114.74,180.38,29.91
55,225.64,72.55,391.81,4.1,12.87,59.68,34.78,14.98,302.78,118.04,184.74,30.72
56,222.59,68.95,395.55,3.74,12.18,56.77,32.99,14.4,309.86,121.32,188.54,31.18
57,219.53,65.14,398.93,3.38,11.35,53.79,31.53,13.63,316.69,124.41,192.28,31.79
58,216.72,61.48,402.22,3.29,10.57,50.91,29.71,12.93,323.34,127.43,195.91,32.34
59,213.69,58.38,405.71,3.49,10.49,47.89,27.91,12.36,329.63,130.15,199.48,32.81
60,210.91,55.57,408.82,3.11,10.08,45.49,26.4,12.02,335.33,132.57,202.76,33.32
61,208.58,52.22,411.53,2.71,9.29,42.93,24.47,11.48,341.07,135.26,205.81,33.89
62,206.13,49.45,414.41,2.88,9.03,40.42,22.89,10.91,346.47,137.74,208.73,34.44
63,204.02,46.74,416.9,2.49,8.53,38.21,21.78,10.31,351.46,139.88,211.58,35.06
64,202.09,44.28,419.31,2.41,7.97,36.31,20.79,9.58,356.16,142.04,214.12,35.46
65,200.37,41.31,421.25,1.94,6.92,34.39,19.37,9.09,360.86,144.17,216.69,36.03
66,198.86,38.96,423.2,1.95,6.27,32.69,18.48,8.64,365.01,146.25,218.76,36.41
67,197.46,36.43,424.83,1.63,5.65,30.78,17.58,8.35,368.97,148.21,220.76,36.89
68,196.07,34.07,426.54,1.71,5.38,28.69,16.76,7.7,372.83,149.94,222.89,37.44
69,194.71,32.26,428.25,1.71,5.33,26.93,15.98,7.21,376.21,151.41,224.8,37.89
70,193.4,30.49,429.93,1.68,5.15,25.34,14.97,6.75,379.54,153.09,226.45,38.21
71,192.07,28.46,431.39,1.46,4.84,23.62,13.76,6.25,382.88,154.76,228.12,38.67
72,190.82,26.91,432.94,1.55,4.54,22.37,12.95,5.81,385.83,156.18,229.65,39.15
73,189.81,25.42,434.33,1.39,4.59,20.83,12.26,5.38,388.6,157.5,231.1,39.57
74,188.9,23.67,435.5,1.17,4.16,19.51,11.57,5.0,391.43,158.86,232.57,39.97
75,187.84,21.92,436.83,1.33,4.19,17.73,10.49,4.35,394.33,160.17,234.16,40.43
76,187.1,20.47,437.94,1.11,3.76,16.71,9.7,4.19,396.78,161.45,235.33,40.76
77,185.93,19.61,439.25,1.31,3.72,15.89,9.09,3.92,398.9,162.38,236.52,41.17
78,185.24,18.65,440.21,0.96,3.45,15.2,8.74,3.88,400.77,163.15,237.62,41.46
79,184.54,17.9,441.15,0.94,3.19,14.71,8.48,3.8,402.39,163.8,238.59,41.73
80,183.97,16.8,441.9,0.75,2.7,14.1,7.95,3.71,404.16,164.61,239.55,42.11
81,183.29,15.9,442.78,0.88,2.61,13.29,7.54,3.54,405.84,165.37,240.47,42.53
82,182.75,15.02,443.67,0.89,2.65,12.37,7.2,3.35,407.58,166.13,241.45,42.8
83,182.06,14.47,444.49,0.82,2.66,11.81,6.92,3.23,408.87,166.77,242.1,43.18
84,181.48,13.68,445.26,0.77,2.56,11.12,6.46,2.98,410.39,167.38,243.01,43.62
85,181.03,13.18,446.04,0.78,2.33,10.85,6.2,2.77,411.59,168.01,243.58,43.98
86,180.5,12.45,446.84,0.8,2.36,10.09,5.87,2.44,413.08,168.48,244.6,44.21
87,179.82,11.84,447.59,0.75,2.34,9.5,5.77,2.2,414.36,168.99,245.37,44.6
88,179.29,11.38,448.36,0.77,2.31,9.07,5.47,2.04,415.56,169.52,246.04,44.91
