Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,0.2574525552054557,0.24702471965617553,0.24702471965617553,0.24702471965617553,0.24702471965617553,0.0,0.0,0.0,0.0,0.0,0.0,0.05245488682206025
1,0.2945206686166936,0.2853316340929295,0.2853316340929295,0.13562798197624817,0.2853316340929295,0.0,0.0,0.0,0.0,0.0,0.0,0.07771353768420236
2,0.30715376335548017,0.2963140567067654,0.2963140567067654,0.11859446220058703,0.270942984795881,0.1528715047669021,0.0,0.0,0.0,0.0,0.0,0.10087996667707458
3,0.3315650065000129,0.3362463623024288,0.3362463623024288,0.13458128106137648,0.25194997098389965,0.20065297446491082,0.0,0.0,0.0,0.0,0.0,0.11901956379375858
4,0.360588744172974,0.3641109277085318,0.3641109277085318,0.1520898192888437,0.21781977537738523,0.27125596395249635,0.1178039803138153,0.09304609480024273,0.0,0.0,0.0,0.1258305739211792
5,0.4424118927292561,0.44594129250792236,0.44685658558513836,0.17664379497460506,0.27997113848366295,0.29826941925823786,0.15168747775967173,0.12987950904082932,0.0,0.0,0.0,0.1447079957721896
6,0.5359509626294503,0.5370476720182316,0.5377196520887295,0.19871048937048735,0.3252644611650183,0.348994225879125,0.19559802110089425,0.14666666666666667,0.0,0.0,0.0,0.1599115917365504
7,0.6332368347537034,0.6343245831336484,0.6347472255977495,0.20630466829816566,0.3549021774454978,0.3905137770950087,0.20418599166426477,0.17978662999019787,0.0,0.0,0.0,0.16666363633608766
8,0.7054449129822435,0.6980376534661763,0.6988381411133393,0.19760178300426504,0.35090647405733844,0.45101008969877937,0.2433167283666092,0.20539196329423065,0.0,0.0,0.0,0.17014254273545124
9,0.7797558540461187,0.7726799747853852,0.7737322638753125,0.21247935134378296,0.36934421819645624,0.5542589920813467,0.2675440112949605,0.23788631526403314,0.0,0.0,0.0,0.18030277565553704
10,0.8673487991540307,0.8607936201933983,0.860467338371446,0.21619996355786983,0.4042751338363316,0.6253047741750103,0.32538865649831406,0.26056659320593945,0.0,0.0,0.0,0.1898298014942689
11,1.0315017981544965,1.0238662120619177,1.0231679858521412,0.2946046829090115,0.43649082742280215,0.701496236409697,0.38598032084655315,0.3169870787284682,0.0,0.0,0.0,0.20176994600562076
12,1.1408414403058786,1.098179853165678,1.1354276549370987,0.2826926803352919,0.5126717499846498,0.7318242047559418,0.43932455042492286,0.31126331053442274,0.1528715047669021,0.0,0.1528715047669021,0.21578842986742006
13,1.2644382311540727,1.1765537760250433,1.2716373760477535,0.28393163211796557,0.5343503560682851,0.7871512375059005,0.4841904625665442,0.3164496864280387,0.20065297446491082,0.0,0.20065297446491082,0.2267557757107453
14,1.3899218784819627,1.2221338351879107,1.3933793670806458,0.2764566563284069,0.5845865326377389,0.8005421142998517,0.4874702788142809,0.28250502811293626,0.27125596395249635,0.0,0.27125596395249635,0.24049402016967852
15,1.4565893468141682,1.2928595664595046,1.4756898746215634,0.3109110106857854,0.528266652899515,0.9309146148826004,0.5616498064190043,0.324638104648698,0.29826941925823786,0.02564323999762428,0.29417922112449435,0.2509356229567394
