Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,596.11,3.65,3.34,3.34,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.24
1,595.99,3.65,3.34,0.0,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2,595.96,3.65,3.34,0.0,2.58,1.07,0.0,0.0,0.0,0.0,0.0,0.99
3,595.81,3.89,3.58,0.24,1.26,2.63,0.0,0.0,0.0,0.0,0.0,1.29
4,595.28,4.4,4.09,0.51,0.75,3.65,0.59,0.48,0.0,0.0,0.0,1.61
5,594.6,5.17,4.86,0.77,1.45,3.72,1.53,1.1,0.0,0.0,0.0,1.84
6,593.82,5.94,5.63,0.77,1.99,3.95,2.08,1.57,0.0,0.0,0.0,2.08
7,593.03,6.72,6.41,0.78,2.25,4.47,2.14,1.58,0.0,0.0,0.0,2.33
8,592.24,7.52,7.22,0.81,2.35,5.17,2.27,1.68,0.0,0.0,0.0,2.57
9,591.29,8.4,8.1,0.88,2.58,5.82,2.66,1.81,0.0,0.0,0.0,2.88
10,590.19,9.57,9.27,1.17,2.87,6.7,3.14,2.03,0.0,0.0,0.0,3.12
11,589.02,10.68,10.39,1.12,3.22,7.46,3.51,2.31,0.0,0.0,0.0,3.42
12,587.82,10.76,11.56,1.17,3.46,7.3,3.45,2.15,1.07,0.0,1.07,3.77
13,586.7,10.3,12.71,1.15,3.53,6.77,3.05,1.71,2.63,0.0,2.63,4.14
14,585.72,10.3,13.74,1.03,3.37,6.93,3.23,1.43,3.65,0.0,3.65,4.47
15,584.91,11.03,14.57,0.83,3.09,7.94,4.03,1.61,3.72,0.06,3.66,4.81
16,583.94,11.87,15.67,1.1,3.14,8.73,4.75,1.82,3.95,0.19,3.76,5.05
17,582.71,12.5,16.86,1.19,3.26,9.24,5.15,1.97,4.44,0.54,3.9,5.4
18,581.59,13.05,18.11,1.25,3.52,9.53,5.43,2.04,5.11,0.96,4.15,5.66
19,580.02,13.85,19.54,1.43,3.81,10.04,5.85,2.06,5.71,1.28,4.43,6.09
20,578.57,14.55,21.15,1.61,4.19,10.36,5.89,2.1,6.57,1.74,4.83,6.41
21,576.77,15.49,22.92,1.77,4.78,10.71,6.0,2.3,7.32,2.24,5.08,6.84
22,575.44,16.07,24.44,1.52,4.82,11.25,6.02,2.57,8.22,2.73,5.49,7.12
23,573.66,16.77,26.2,1.76,5.05,11.72,5.99,2.72,9.24,3.24,6.0,7.46
24,572.18,17.21,27.75,1.55,4.93,12.28,6.24,2.85,10.32,3.83,6.49,7.77
25,570.35,18.04,29.71,1.96,5.06,12.98,6.47,3.02,11.4,4.3,7.1,8.0
26,568.54,18.72,31.42,1.71,5.39,13.33,6.77,3.35,12.39,4.71,7.68,8.38
27,566.57,19.7,33.5,2.08,5.7,14.0,7.18,3.67,13.42,5.06,8.36,8.72
28,564.6,20.64,35.47,1.97,5.87,14.77,7.45,3.75,14.4,5.42,8.98,9.11
29,562.48,21.58,37.62,2.15,6.06,15.52,7.79,3.97,15.51,5.73,9.78,9.58
30,560.38,22.6,39.91,2.29,6.32,16.28,8.27,4.02,16.68,6.16,10.52,9.96
31,558.35,23.52,42.05,2.14,6.44,17.08,8.64,4.39,17.83,6.54,11.29,10.3
32,556.25,24.32,44.29,2.24,6.72,17.6,9.2,4.44,19.2,7.08,12.12,10.58
33,553.84,25.23,46.68,2.39,6.75,18.48,9.47,4.72,20.62,7.6,13.02,10.94
34,551.58,25.86,49.02,2.34,7.09,18.77,9.83,4.58,22.22,8.24,13.98,11.33
35,549.02,26.69,51.69,2.67,7.5,19.19,10.19,4.75,23.98,8.86,15.12,11.71
36,546.8,27.56,53.97,2.28,7.33,20.23,10.68,4.85,25.28,9.37,15.91,12.16
37,544.69,28.05,56.34,2.37,7.28,20.77,10.92,4.99,26.99,10.09,16.9,12.53
38,542.05,28.91,59.06,2.72,7.49,21.42,11.19,5.31,28.65,10.79,17.86,13.03
39,539.83,29.3,61.47,2.41,7.42,21.88,11.59,5.31,30.49,11.51,18.98,13.55
40,537.67,29.72,63.91,2.44,7.38,22.34,11.85,5.54,32.42,12.33,20.09,13.88
41,535.28,30.23,66.45,2.54,7.39,22.84,12.2,5.64,34.36,13.11,21.25,14.15
42,532.83,30.72,68.87,2.42,7.69,23.03,12.5,5.88,36.2,13.8,22.4,14.56
43,530.38,30.98,71.52,2.65,7.77,23.21,12.71,5.81,38.46,14.66,23.8,14.91
44,528.05,31.46,73.95,2.43,7.62,23.84,12.62,6.07,40.29,15.43,24.86,15.31
45,525.57,31.77,76.49,2.54,7.71,24.06,13.0,6.03,42.43,16.3,26.13,15.74
46,523.51,31.58,78.73,2.24,7.24,24.34,13.1,6.09,44.72,17.12,27.6,16.14
47,521.29,31.58,81.16,2.43,7.2,24.38,13.04,6.17,47.03,18.15,28.88,16.48
48,518.71,31.58,83.7,2.54,7.38,24.2,13.14,6.23,49.46,19.12,30.34,16.98
49,516.55,31.53,86.12,2.42,7.41,24.12,13.25,6.13,51.82,20.14,31.68,17.34
50,514.1,31.67,88.66,2.54,7.36,24.31,13.17,6.17,54.12,21.17,32.95,17.72
51,511.91,31.5,91.02,2.36,7.33,24.17,13.02,6.18,56.5,22.25,34.25,18.1
52,509.53,31.89,93.59,2.57,7.4,24.49,13.52,6.1,58.54,22.98,35.56,18.45
53,507.19,31.71,95.99,2.4,7.5,24.21,13.27,6.15,60.99,24.1,36.89,18.88
54,504.68,31.77,98.65,2.66,7.58,24.19,13.36,5.97,63.43,25.23,38.2,19.35
55,502.22,31.83,101.3,2.65,7.76,24.07,13.07,5.96,65.8,26.2,39.6,19.87
