
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,596,4,4,4,4,0,0,0,0,0,0,0
1,596,4,4,0,4,0,0,0,0,0,0,0
2,594,4,4,0,3,1,0,0,0,0,0,2
3,596,4,4,0,2,2,0,0,0,0,0,2
4,596,4,4,0,0,4,1,0,0,0,0,2
5,594,6,6,2,2,4,1,1,0,0,0,2
6,594,6,6,0,2,4,2,2,0,0,0,2
7,593,7,7,1,3,4,2,2,0,0,0,2
8,591,8,8,1,3,5,2,2,0,0,0,3
9,591,9,9,1,3,6,2,2,0,0,0,3
10,590,9,9,0,3,6,3,2,0,0,0,4
11,588,12,12,3,4,8,4,2,0,0,0,4
12,587,12,13,1,4,8,3,2,1,0,1,4
13,587,11,13,0,4,7,3,3,2,0,2,4
14,586,10,14,1,3,7,3,2,4,0,4,4
15,584,11,15,1,2,9,3,2,4,0,4,5
16,583,13,17,2,4,9,4,3,4,0,4,5
17,581,15,19,2,5,10,5,4,4,0,4,5
18,580,15,20,1,5,10,4,4,5,1,4,5
19,578,16,22,2,5,11,4,4,6,2,4,5
20,577,17,23,1,5,12,4,5,6,2,4,5
21,575,16,24,1,4,12,6,3,8,3,5,6
22,575,16,25,1,5,11,6,3,9,4,5,6
23,573,18,27,2,5,13,6,5,9,4,5,6
24,571,17,28,1,4,13,5,4,11,5,6,7
25,569,18,31,3,6,12,4,5,13,6,7,7
26,567,20,33,2,7,13,5,6,13,6,7,7
27,565,21,35,2,8,13,4,7,14,6,8,7
28,565,20,35,0,4,16,4,7,15,6,9,7
29,560,23,40,5,6,17,3,7,17,7,10,7
30,559,23,41,1,6,17,6,7,18,8,10,7
31,556,24,44,3,8,16,8,6,20,8,12,7
32,555,25,45,1,6,19,9,6,20,8,12,7
33,552,26,48,3,6,20,10,4,22,8,14,7
34,548,27,51,3,8,19,11,4,24,9,15,8
35,546,27,53,2,7,20,11,5,25,9,16,10
36,547,26,54,1,5,21,11,4,26,9,17,11
37,544,29,58,4,6,23,12,5,27,10,17,11
38,540,29,61,3,8,21,12,5,30,11,19,12
39,537,30,65,4,10,20,12,5,33,12,21,12
40,535,31,67,2,8,23,12,5,34,13,21,12
41,533,31,68,1,4,27,12,6,35,14,21,13
42,534,29,68,0,3,26,12,8,37,15,22,13
43,532,27,70,2,5,22,15,6,40,15,25,14
44,532,27,71,1,4,23,15,6,41,16,25,14
45,529,26,73,2,4,22,13,5,44,18,26,15
46,527,26,76,3,7,19,10,7,47,19,28,15
47,526,24,77,1,7,17,10,6,50,20,30,15
48,523,27,80,3,8,19,10,6,50,20,30,15
49,519,28,83,3,8,20,10,5,52,21,31,16
50,517,27,86,3,9,18,11,2,56,22,34,16
51,514,25,89,3,11,14,8,3,61,26,35,16
52,513,24,89,0,5,19,7,5,62,27,35,17
53,513,25,90,1,4,21,8,5,62,27,35,17
54,513,23,90,0,2,21,11,6,64,28,36,17
55,511,23,92,2,3,20,11,6,66,28,38,17
