Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,197.414,2.491,3.526,0.0,3.526,3.526,0.0,3.526,2.491,0.0,0.0,0.0,0.0,0.0,0.0,0.095
1,197.427,2.481,3.526,0.0,3.526,0.0,0.0,0.0,2.481,0.0,0.0,0.0,0.0,0.0,0.0,0.187
2,197.468,2.427,3.526,0.0,3.526,0.0,0.0,0.0,1.769,0.658,0.0,0.0,0.0,0.0,0.0,0.292
3,197.261,2.641,3.657,0.08,3.577,0.131,0.08,0.051,1.219,1.422,0.0,0.0,0.0,0.0,0.0,0.39
4,197.002,2.9,3.969,0.284,3.685,0.312,0.204,0.108,0.427,2.473,0.439,0.29,0.0,0.0,0.0,0.488
5,196.527,3.352,4.44,0.584,3.856,0.471,0.3,0.171,0.835,2.517,0.83,0.526,0.0,0.0,0.0,0.609
6,196.046,3.861,4.936,0.853,4.083,0.496,0.269,0.227,1.177,2.684,1.541,0.983,0.0,0.0,0.0,0.702
7,195.574,4.32,5.454,1.153,4.301,0.518,0.3,0.218,1.402,2.918,1.574,0.966,0.0,0.0,0.0,0.808
8,195.039,4.859,5.997,1.489,4.508,0.543,0.336,0.207,1.563,3.296,1.669,0.993,0.0,0.0,0.0,0.91
9,194.557,5.334,6.564,1.815,4.749,0.567,0.326,0.241,1.622,3.712,1.813,1.04,0.0,0.0,0.0,1.019
10,193.941,5.951,7.155,2.13,5.025,0.591,0.315,0.276,1.699,4.252,2.14,1.186,0.0,0.0,0.0,1.127
11,193.299,6.585,7.862,2.485,5.377,0.707,0.355,0.352,1.836,4.749,2.435,1.315,0.0,0.0,0.0,1.243
12,192.554,6.627,8.657,2.869,5.788,0.795,0.384,0.411,2.075,4.552,2.352,1.173,0.715,0.0,0.715,1.347
13,191.869,6.719,9.368,3.207,6.161,0.711,0.338,0.373,2.163,4.556,2.336,1.124,1.423,0.0,1.423,1.456
14,191.265,6.098,10.014,3.465,6.549,0.646,0.258,0.388,2.087,4.011,1.945,0.819,2.517,0.0,2.517,1.592
15,190.779,6.574,10.565,3.656,6.909,0.551,0.191,0.36,1.956,4.618,2.309,0.962,2.563,0.029,2.534,1.708
16,190.272,7.012,11.21,3.875,7.335,0.645,0.219,0.426,1.904,5.108,2.626,1.147,2.678,0.108,2.57,1.822
17,189.613,7.354,11.9,4.119,7.781,0.69,0.244,0.446,1.912,5.442,2.892,1.258,2.907,0.254,2.653,1.96
18,188.813,7.808,12.688,4.403,8.285,0.788,0.284,0.504,2.085,5.723,3.086,1.403,3.273,0.487,2.786,2.097
19,188.17,8.051,13.477,4.688,8.789,0.789,0.285,0.504,2.248,5.803,3.175,1.471,3.711,0.759,2.952,2.212
20,187.394,8.312,14.299,4.997,9.302,0.822,0.309,0.513,2.401,5.911,3.171,1.516,4.171,1.01,3.161,2.353
21,186.565,8.664,15.208,5.374,9.834,0.909,0.377,0.532,2.535,6.129,3.196,1.563,4.67,1.309,3.361,2.491
22,185.743,9.012,16.05,5.742,10.308,0.842,0.368,0.474,2.648,6.364,3.262,1.645,5.166,1.595,3.571,2.629
23,184.935,9.349,16.959,6.134,10.825,0.909,0.392,0.517,2.727,6.622,3.393,1.685,5.707,1.871,3.836,2.751
24,184.102,9.502,17.842,6.506,11.336,0.883,0.372,0.511,2.752,6.75,3.416,1.688,6.342,2.207,4.135,2.899
25,183.15,9.804,18.809,6.937,11.872,0.967,0.431,0.536,2.793,7.011,3.547,1.742,6.988,2.505,4.483,3.041
26,182.2,10.16,19.819,7.404,12.415,1.01,0.467,0.543,2.964,7.196,3.661,1.785,7.613,2.774,4.839,3.172
27,181.216,10.52,20.837,7.854,12.983,1.018,0.45,0.568,3.102,7.418,3.821,1.843,8.224,3.04,5.184,3.298
28,180.258,10.951,21.867,8.324,13.543,1.03,0.47,0.56,3.144,7.807,4.08,1.887,8.783,3.253,5.53,3.422
29,179.174,11.454,22.919,8.809,14.11,1.052,0.485,0.567,3.242,8.212,4.3,1.986,9.339,3.446,5.893,3.552
30,178.108,11.923,24.076,9.295,14.781,1.157,0.486,0.671,3.337,8.586,4.514,2.05,9.967,3.647,6.32,3.69
31,177.046,12.298,25.226,9.808,15.418,1.15,0.513,0.637,3.456,8.842,4.701,2.086,10.659,3.903,6.756,3.82
32,175.858,12.761,26.435,10.324,16.111,1.209,0.516,0.693,3.579,9.182,4.943,2.161,11.359,4.154,7.205,3.962
33,174.683,13.176,27.668,10.881,16.787,1.233,0.557,0.676,3.704,9.472,5.061,2.237,12.134,4.44,7.694,4.103
34,173.509,13.576,28.92,11.443,17.477,1.252,0.562,0.69,3.771,9.805,5.218,2.322,12.944,4.735,8.209,4.239
35,172.281,13.943,30.184,11.973,18.211,1.264,0.53,0.734,3.912,10.031,5.359,2.355,13.806,5.086,8.72,4.378
36,170.978,14.398,31.494,12.527,18.967,1.31,0.554,0.756,4.0,10.398,5.578,2.438,14.619,5.416,9.203,4.534
37,169.758,14.799,32.821,13.075,19.746,1.327,0.548,0.779,4.052,10.747,5.747,2.511,15.472,5.761,9.711,4.667
38,168.469,15.214,34.166,13.677,20.489,1.345,0.602,0.743,4.131,11.083,5.962,2.609,16.354,6.125,10.229,4.814
