
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,199,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,197,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2,197,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0
3,199,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,198,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0
5,199,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,197,3,0,0,0,0,0,0,0,3,1,2,0,0,0,0
7,199,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8,197,3,0,0,0,0,0,0,0,3,1,2,0,0,0,0
9,197,3,0,0,0,0,0,0,0,3,1,2,0,0,0,0
10,198,2,1,1,0,1,1,0,1,1,1,0,0,0,0,0
11,197,3,1,1,0,0,0,0,1,2,0,2,0,0,0,0
12,198,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0
13,196,2,1,1,0,0,0,0,1,1,0,1,1,0,1,0
14,198,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0
15,196,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0
16,196,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0
17,198,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0
18,197,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0
19,198,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0
20,196,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0
21,198,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0
22,196,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0
23,194,3,3,1,2,2,0,2,2,1,0,1,1,0,1,0
24,197,1,3,1,2,0,0,0,1,0,0,0,2,1,1,0
25,196,1,3,1,2,0,0,0,1,0,0,0,2,1,1,0
26,196,2,3,1,2,0,0,0,1,1,0,0,2,1,1,0
27,192,4,5,2,3,2,1,1,2,2,1,0,2,1,1,0
28,193,5,6,2,4,1,0,1,3,2,1,0,2,1,1,0
29,192,4,7,2,5,1,0,1,2,2,2,0,2,1,1,0
30,190,5,7,2,5,0,0,0,2,3,2,0,2,1,1,1
31,193,5,7,2,5,0,0,0,1,4,1,0,2,1,1,1
32,191,6,8,3,5,1,1,0,1,5,2,0,2,1,1,1
33,188,10,12,5,7,4,2,2,5,5,4,1,2,1,1,1
34,186,10,12,5,7,0,0,0,5,5,4,1,2,1,1,1
35,184,13,15,7,8,3,2,1,7,6,4,1,3,1,2,1
36,181,14,17,7,10,2,0,2,8,6,2,1,3,1,2,1
37,182,11,17,7,10,0,0,0,2,9,2,1,4,1,3,2
38,182,15,18,8,10,1,1,0,3,12,4,2,4,1,3,2
39,182,14,18,8,10,0,0,0,2,12,7,3,4,1,3,2
40,183,12,18,8,10,0,0,0,1,11,6,4,4,1,3,2
41,182,12,19,9,10,1,1,0,2,10,6,3,5,1,4,2
42,180,14,21,9,12,2,0,2,3,11,7,3,5,1,4,2
43,177,17,24,10,14,3,1,2,6,11,7,3,5,1,4,2
44,174,19,26,11,15,2,1,1,7,12,8,3,5,1,4,3
45,172,21,29,12,17,3,1,2,7,14,7,3,6,2,4,3
46,171,20,30,13,17,1,1,0,5,15,7,2,8,2,6,3
47,168,19,33,15,18,3,2,1,5,14,6,2,12,6,6,3
48,164,21,37,17,20,4,2,2,9,12,8,1,14,6,8,3
49,164,21,37,17,20,0,0,0,7,14,9,3,14,6,8,3
50,162,22,39,19,20,2,2,0,5,17,8,3,15,6,9,3
51,159,25,42,20,22,3,1,2,6,19,10,3,15,6,9,3
52,158,25,43,20,23,1,0,1,6,19,13,3,16,7,9,3
53,158,25,43,20,23,0,0,0,5,20,15,3,16,7,9,3
54,157,24,44,21,23,1,1,0,2,22,14,3,17,8,9,4
55,155,24,47,23,24,3,2,1,4,20,13,2,20,8,12,4
56,154,22,48,24,24,1,1,0,4,18,13,3,23,10,13,4
57,152,21,50,25,25,2,1,1,6,15,13,1,26,11,15,4
58,151,22,51,25,26,1,0,1,6,16,14,1,26,11,15,4
59,148,22,53,27,26,2,2,0,5,17,12,1,28,11,17,5
60,147,21,55,28,27,2,1,1,7,14,10,1,31,13,18,5
61,145,21,57,29,28,2,1,1,6,15,11,1,33,14,19,5
62,143,22,59,29,30,2,0,2,7,15,10,1,34,15,19,5
63,142,22,60,30,30,1,1,0,6,16,12,1,35,16,19,5
64,140,19,61,30,31,1,0,1,4,15,10,0,39,18,21,6
65,139,19,62,30,32,1,0,1,3,16,11,0,40,18,22,7
66,139,18,63,31,32,1,1,0,3,15,10,2,41,19,22,9
67,141,18,63,31,32,0,0,0,3,15,11,3,41,19,22,9
68,140,19,64,32,32,1,1,0,3,16,11,4,41,19,22,9
69,138,18,66,33,33,2,1,1,3,15,8,4,44,21,23,9
70,138,18,66,33,33,0,0,0,3,15,9,4,44,21,23,9
71,138,15,66,33,33,0,0,0,2,13,8,4,47,23,24,9
72,138,14,66,33,33,0,0,0,1,13,7,4,48,23,25,9
73,137,13,67,33,34,1,0,1,1,12,6,4,50,25,25,9
74,136,10,68,33,35,1,0,1,2,8,5,2,53,26,27,10
75,136,9,69,34,35,1,1,0,2,7,5,1,55,27,28,10
76,135,9,70,34,36,1,0,1,3,6,5,0,56,27,29,10
77,135,9,70,34,36,0,0,0,2,7,6,0,56,27,29,10
78,134,9,71,35,36,1,1,0,1,8,5,0,57,27,30,10
79,134,8,71,35,36,0,0,0,1,7,4,1,58,27,31,10
80,134,8,71,35,36,0,0,0,1,7,6,1,58,27,31,10
81,131,10,74,37,37,3,2,1,3,7,5,1,59,28,31,10
82,130,10,75,37,38,1,0,1,4,6,4,1,60,29,31,10
83,129,10,76,38,38,1,1,0,4,6,4,1,61,29,32,10
84,129,10,76,38,38,0,0,0,2,8,4,1,61,29,32,10
85,128,10,77,38,39,1,0,1,1,9,4,1,62,29,33,11
86,129,10,77,38,39,0,0,0,1,9,5,2,62,29,33,11
87,129,9,77,38,39,0,0,0,1,8,6,2,63,29,34,11
88,127,9,79,39,40,2,1,1,2,7,4,2,65,30,35,11
89,127,9,79,39,40,0,0,0,2,7,4,2,65,30,35,11
90,127,9,79,39,40,0,0,0,1,8,5,2,65,30,35,11
91,127,8,79,39,40,0,0,0,1,7,4,2,66,31,35,11
92,125,10,81,41,40,2,2,0,2,8,4,3,66,31,35,11
93,123,11,83,41,42,2,0,2,4,7,3,3,67,32,35,11
94,121,11,85,41,44,2,0,2,6,5,3,2,69,32,37,11
95,120,10,86,42,44,1,1,0,6,4,2,1,71,34,37,11
96,120,10,86,42,44,0,0,0,4,6,2,1,71,34,37,11
97,120,10,86,42,44,0,0,0,2,8,3,1,71,34,37,11
98,119,10,87,43,44,1,1,0,2,8,3,2,72,34,38,11
99,119,10,87,43,44,0,0,0,1,9,4,3,72,34,38,11
100,117,11,89,44,45,2,1,1,3,8,5,2,73,34,39,11
101,115,12,90,44,46,1,0,1,4,8,6,2,73,34,39,12
102,115,12,91,44,47,1,0,1,4,8,5,2,74,35,39,12
103,113,14,93,45,48,2,1,1,5,9,5,2,74,35,39,12
104,112,15,94,45,49,1,0,1,5,10,6,2,74,35,39,12
105,112,14,94,45,49,0,0,0,3,11,5,3,75,36,39,12
106,111,13,95,45,50,1,0,1,1,12,5,2,77,37,40,12
107,108,14,98,47,51,3,2,1,4,10,4,3,79,37,42,12
108,107,13,99,48,51,1,1,0,5,8,4,4,80,37,43,13
109,108,12,99,48,51,0,0,0,2,10,3,4,81,38,43,13
110,108,11,99,48,51,0,0,0,1,10,2,4,81,38,43,14
111,108,12,100,49,51,1,1,0,1,11,4,5,81,38,43,14
112,107,13,101,49,52,1,0,1,2,11,5,5,81,38,43,14
113,106,12,101,49,52,0,0,0,2,10,5,5,82,38,44,15
114,105,14,103,50,53,2,1,1,4,10,5,5,82,38,44,15
115,104,13,104,51,53,1,1,0,4,9,5,3,84,39,45,15
116,104,10,104,51,53,0,0,0,3,7,3,2,87,39,48,15
117,103,11,105,51,54,1,0,1,2,9,4,2,87,39,48,15
118,102,12,106,52,54,1,1,0,3,9,4,3,87,39,48,15
119,100,10,107,52,55,1,0,1,2,8,2,4,90,40,50,16
120,101,9,107,52,55,0,0,0,1,8,1,4,91,41,50,16
121,99,9,108,52,56,1,0,1,1,8,2,4,92,42,50,17
122,99,10,109,52,57,1,0,1,2,8,3,4,92,42,50,17
123,96,13,112,55,57,3,3,0,5,8,4,4,92,42,50,17
124,96,13,112,55,57,0,0,0,4,9,4,4,92,42,50,17
125,96,12,112,55,57,0,0,0,3,9,3,4,93,43,50,17
126,96,11,112,55,57,0,0,0,1,10,4,3,94,43,51,17
127,95,9,113,55,58,1,0,1,1,8,4,1,96,44,52,18
128,94,10,114,55,59,1,0,1,2,8,6,1,96,44,52,19
129,95,9,114,55,59,0,0,0,2,7,7,0,97,44,53,19
130,95,8,114,55,59,0,0,0,1,7,6,0,98,45,53,19
