Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,0.03323370998669092,0.03186808081097095,0.0,0.0,0.0,0.0,0.0,0.0,0.03186808081097095,0.0,0.0,0.0,0.0,0.0,0.0,0.009943987272864083
1,0.03308276695606747,0.03229430169429155,0.0,0.0,0.0,0.0,0.0,0.0,0.03229430169429155,0.0,0.0,0.0,0.0,0.0,0.0,0.01352993196801296
2,0.033824829920032405,0.033018801329564355,0.0,0.0,0.0,0.0,0.0,0.0,0.02879634055273742,0.017504782701233897,0.0,0.0,0.0,0.0,0.0,0.016721950353461273
3,0.03716477122518341,0.03507355348626874,0.008830740738011844,0.005917010310199824,0.006083832099344377,0.005917010310199824,0.006083832099344377,0.008830740738011844,0.024332942528434414,0.02431491754489855,0.0,0.0,0.0,0.0,0.0,0.019403491837694974
4,0.04022837707790761,0.03921022113481945,0.01432746580091107,0.010606766873251412,0.008785054193183851,0.008719807052626512,0.0062124547961811835,0.010919626286564859,0.014815481716721144,0.03291009076368635,0.011991989318199371,0.010624353009801439,0.0,0.0,0.0,0.02168846212596433
5,0.04713653416250343,0.045829896131012335,0.022495378237363386,0.01680099024680609,0.013611181589570549,0.012305097131490488,0.009839502823609321,0.01618755809370385,0.022548268767788458,0.03247715759985417,0.019476224565436788,0.01646800519781298,0.0,0.0,0.0,0.02401365560791725
6,0.05321081084131673,0.05177776488935128,0.028451599137719715,0.020642313463008575,0.017414196916718677,0.011746232331006141,0.01024152766382481,0.015671681517999327,0.026945966026199267,0.03495054420950467,0.026722089552841298,0.02183375168661384,0.0,0.0,0.0,0.02621990624475007
7,0.05744269895873333,0.056724745012178744,0.034557172890706755,0.025121904985691473,0.02085727753150027,0.013102353669156993,0.009695049973774968,0.01657331212144014,0.03051929598512108,0.03810620793365673,0.02660275750193402,0.0213636936742551,0.0,0.0,0.0,0.02815926035860928
8,0.06342370666057423,0.06265692212269838,0.04133603352606135,0.029217197754826604,0.024166257633485747,0.013239308111804004,0.011768495974316237,0.018206660387959192,0.03137488459553889,0.04314900736792026,0.027315657508929655,0.022369161347251698,0.0,0.0,0.0,0.029537492504670457
9,0.06945253526441389,0.06867308054829048,0.04895283832813355,0.03270211657413673,0.029003727626224465,0.014325823858655712,0.012843829801268936,0.020439980254217293,0.03427485617425354,0.04879709167723171,0.031002986713947175,0.024519220872454173,0.0,0.0,0.0,0.030966997835679116
10,0.07782549587254685,0.07733146937797157,0.05817882583703264,0.03702721992014814,0.033834535252841524,0.015240185801467883,0.013263933501489368,0.021486290062750726,0.03760570686995778,0.053355016238004815,0.033177277340549385,0.025739726757165345,0.0,0.0,0.0,0.03256887673426475
11,0.08846242479494106,0.08762619100103206,0.06726803839111847,0.04171383516345679,0.03882147739469876,0.014594828159625896,0.014558947865933272,0.02169307699681144,0.04056241251835632,0.061002297336086295,0.039800101106002836,0.02675643673785631,0.0,0.0,0.0,0.03388550172606608
12,0.0955175355607524,0.09147654868303111,0.07698049751071369,0.04659341097135889,0.04466240847436165,0.01506073789114683,0.01581980613870683,0.0224379692143131,0.04322197518785021,0.06317508283406592,0.03943093707736096,0.02832032911251282,0.015813730555250836,0.0,0.015813730555250836,0.03540787649263533
13,0.10375799594114048,0.09285227808484585,0.08679537682064314,0.05053815494361765,0.05008260443774133,0.014578358224729167,0.015422998050601865,0.022948761309614197,0.042350543899323995,0.06522709232806238,0.037756450436310214,0.025502340468462288,0.02403015706250062,0.0,0.02403015706250062,0.036935555163490306
14,0.11522248140107129,0.09641782198533835,0.0973420334258098,0.05400640417294686,0.056278577436519116,0.01446877138340866,0.016963837177118028,0.02376385323807401,0.045895995930390725,0.06661496493696858,0.03716155245655086,0.023504711686627246,0.03138113726071405,0.0,0.03138113726071405,0.038244982398723606
15,0.1239125914922706,0.10549999644193951,0.10740882484998919,0.05660657474449681,0.06280623873170263,0.012038268975227293,0.01615478186101493,0.02111864098366647,0.04442031251763279,0.07479276674891737,0.042479883951589845,0.028549940439501785,0.03158754141703296,0.002443352199329841,0.03146918030882453,0.03965496837114508
16,0.13026063039856606,0.11069610936536402,0.11632984411849193,0.059818075881811865,0.0680396457471186,0.012823745492189419,0.015561270936307006,0.0208756986660278,0.04270020266119714,0.08145670134613969,0.04713407069859997,0.03095665218195137,0.033310367463907996,0.005905834308451168,0.03238715683612762,0.040939712505830575
17,0.1434163318602322,0.12086597363850415,0.13015698537090065,0.06485983192853494,0.0765546315490553,0.015604951602440636,0.019945646864136263,0.02655381526457366,0.04733201157059901,0.08720348874012122,0.05060149712717511,0.03382667947411103,0.037111902313049026,0.010681249416107139,0.03440486440453871,0.042656424727941865
18,0.1540603732262083,0.1262149524193319,0.14219499082392253,0.06921843100786951,0.08399101434374091,0.01476377217952678,0.019187056656588656,0.02570207378007846,0.05071938935413612,0.09065624388068676,0.053259849902263255,0.03310377410296083,0.04225096619184163,0.015633406647413847,0.03702576004495933,0.044160005730367685
19,0.1673833210812122,0.13468337169305872,0.15453367159184325,0.07430260343269862,0.09155639559077003,0.01621662662143329,0.018929694486000914,0.026007448690469184,0.05284474966888923,0.09711058884831492,0.056898122960220725,0.03511462710946874,0.047506640387222514,0.019026981526927125,0.03960485506278927,0.04557909009023166
20,0.17866599435129657,0.1423007853580349,0.16919190850008728,0.07929870291678347,0.1004175466922175,0.016750659228358288,0.020609117781596954,0.027859776868581838,0.055210036661354864,0.10195351155560323,0.06009194656559265,0.036703162290491025,0.05300363558648959,0.023414188523718352,0.042134015655705966,0.046726002603682246
21,0.19300711838620815,0.15265419517099194,0.18330555072044305,0.08481858990335311,0.10884446755861373,0.017329145948352425,0.020639209698459313,0.02907199995152004,0.0574365995073086,0.10987873924166283,0.06267624998603787,0.038354544334029975,0.05802728811659361,0.027135813095471313,0.04448075468714012,0.048201186233892156
22,0.20482675117766722,0.15845672132330813,0.19614255760263477,0.09114978487787716,0.1157128578225664,0.01878128687648258,0.020027983426199457,0.029531391824685525,0.058932240827996765,0.11446605819402744,0.06588125940159568,0.040175179465001085,0.06547853418058806,0.0302718910441252,0.048456083126806604,0.04957249673389905
23,0.22076722847644117,0.16653981659204056,0.21263157617622833,0.09837866822824125,0.12505854084643175,0.019997972870241597,0.02046288664215608,0.031178648272625745,0.06366735845417598,0.11908444526933443,0.06835922749698085,0.04121765270966913,0.07339312331922217,0.034156502553198666,0.05283990969008233,0.05094518045322258
24,0.23704280898878435,0.17520500219112692,0.22997013123721366,0.10613885460309272,0.1349938492648437,0.020634359131719522,0.021291414333583485,0.031600610731417816,0.06395979092253863,0.12567430139065833,0.07186437565643,0.04278557707458912,0.08152399746186494,0.03889812417153382,0.056767786477733846,0.05239031155418667
25,0.2559674165168651,0.1857700447044935,0.24865156867110774,0.11463263340183998,0.1448369868257164,0.021233036566676983,0.024181309636488586,0.033838514226322725,0.06889884651466273,0.13190993605953735,0.07359995212602351,0.04429149734132655,0.08940662472403565,0.04279727335481323,0.061564000244673234,0.054166530376358914
26,0.27369023611620735,0.19677540384804082,0.2675478515197849,0.12280009716553104,0.15598901106030377,0.020811466001152273,0.023670747861111282,0.035056882134396734,0.0701846271050996,0.1400198434385518,0.0788538453655174,0.04651918996537918,0.09872110644060293,0.04673687340136625,0.06712025870874702,0.05535489286561906
27,0.289337330966972,0.20595470701428834,0.28559075804563616,0.13121585880373457,0.1655150332333176,0.021231740079107667,0.02296500362271671,0.03337990740278077,0.07188579531150481,0.14749630218808593,0.0823676418773078,0.049165854831186254,0.10834313191999867,0.04984359923184104,0.07291277166774195,0.05623024845081907
28,0.31258667506697946,0.21959556738061273,0.30632555614304585,0.14035463449214433,0.17719570343921243,0.02203636997333276,0.024260514680702314,0.036543938751309485,0.07589386588439727,0.15768363303820765,0.08726692108419729,0.05112937720345529,0.1171880712531956,0.052531271967605486,0.07864974114249698,0.05713307438067891
29,0.33113255316831625,0.22933765447427024,0.3271280907959263,0.14950349593001264,0.18866699296441397,0.022768803622905148,0.023953909697370695,0.03579605225939527,0.07881837562609584,0.16522189405243567,0.09071750473676878,0.05354013023467113,0.1267195993398687,0.05560837429103004,0.08432740427115679,0.0578275715211008
30,0.348305032113226,0.23699341104106014,0.346761039071892,0.15775573165774634,0.20011988148848922,0.022981038447557764,0.02612628145340593,0.036857271446194426,0.08055969752217833,0.17101456657835315,0.09539087177722207,0.054336474420525784,0.1371349882597618,0.05941910997844574,0.09083176431958927,0.05881305105990486
31,0.36880811192735913,0.24623665139147846,0.3683505954402153,0.16744528038114995,0.21193363788428415,0.02319564696312733,0.026276119090048945,0.03805643562253686,0.08270210782464156,0.17920475815486972,0.09977108935092505,0.05673773145068606,0.14835811109989616,0.06375390623766171,0.09749966761576773,0.05996788429774013
32,0.39007860787323406,0.25596576816925043,0.3896831494393323,0.17717703774107607,0.22370479394692203,0.02312933129093805,0.026135858185318557,0.037605919815970536,0.0823548317848948,0.18926094077675856,0.1045740633940115,0.05883785255167709,0.15984622239769952,0.0685490917370754,0.10421533397651152,0.061430975612998075
33,0.4142414404317499,0.26891014049987716,0.41477408011776423,0.18819851934242915,0.23718140529775733,0.025933598893164666,0.027447119053633742,0.041452651571670565,0.08805603252966185,0.1967870044619947,0.10960677280462484,0.06117264987797319,0.1721953839400181,0.0728089083638612,0.1119466437685876,0.06308340126780987
34,0.4360384392694301,0.27779121469002394,0.43929016247447067,0.1995921742855567,0.2504874447152191,0.025624355750098533,0.027618957380878936,0.0420551975341888,0.09087755349771323,0.2020550673708785,0.11321859144791305,0.0634840233540788,0.18601176408059888,0.07898783500057513,0.11986645471927068,0.06415627036406517
35,0.45950810515016893,0.2866620835585867,0.46181421846059745,0.20907241634246082,0.26374052222414185,0.023313483620396987,0.028020012867968513,0.03895778110607313,0.09105098177000225,0.21136762351947916,0.1166541863766543,0.06578771940129878,0.19995394865213736,0.08361834743660047,0.12886008272898525,0.06521773802696129
36,0.482025153128183,0.2934637711626173,0.4844681417599927,0.21882597836822026,0.27645981449214097,0.02392012065546853,0.0279680748928705,0.03962475389350855,0.08983735164033804,0.21898385540703436,0.1216091270414346,0.0663739821428962,0.21490599010866257,0.09065659721508755,0.13668314556770447,0.06657047113869352
37,0.5007734997961635,0.2982056381133707,0.50643269352706,0.2275648495720742,0.28894905356404194,0.02395271869188825,0.028533579606582232,0.040487717338166335,0.08807940725267163,0.2259550656473355,0.1257489713826869,0.06860693048745813,0.2301738821326521,0.09709378045066637,0.14593549317478655,0.06756085011653175
38,0.5235726953989938,0.306068470948755,0.5308412865174218,0.2366664530726947,0.3040243918353112,0.025507540740624814,0.0303490537754485,0.0430175139507911,0.092994187554486,0.23075604510467837,0.13097141868557627,0.06953574058870172,0.24725831163516562,0.10419804332247432,0.1558743333836838,0.06897486884751962
39,0.5464007226841393,0.31204382119559165,0.5541584751816176,0.24538861336983744,0.3186261549631898,0.025308487104517323,0.030273759272685326,0.0437342850368871,0.09187221834975197,0.23747815662682514,0.13612097531210948,0.07014356078157936,0.2638519449404322,0.1112296544813299,0.16522996078175395,0.06956049642334838
40,0.5679671211000252,0.31757252448583817,0.5779189340160905,0.2558296401998893,0.33182541208307736,0.0258087212021458,0.029073859208734044,0.04197215340748747,0.09462723346538941,0.240455271802757,0.13779295300521685,0.07244274947813585,0.28082116110529226,0.11881729061272417,0.17456065542504826,0.07068306795899636
41,0.5883139232350976,0.3208881506151407,0.6009226006500106,0.2664713530231383,0.34442158066129547,0.026115762156847598,0.029313107277432363,0.04200595791671106,0.09626996887351168,0.24241915362868102,0.14149353490679503,0.07312035001000465,0.3005706950831081,0.12787975692904738,0.18502874002336678,0.07144371353873065
42,0.6149893949947072,0.32657614116156125,0.6275455397056093,0.2794974468985769,0.3580593323535716,0.027511377207909388,0.03069687766366961,0.04570207522290076,0.09674563927494985,0.24760593631756833,0.14029746747314928,0.07483111448919959,0.32077191058229926,0.13491805617441233,0.19770397533145828,0.07304869000270375
43,0.6381387404413339,0.33322195736906784,0.6521561712286955,0.29144010934896614,0.37049095474457616,0.026017319248933024,0.029404755391596777,0.045059398013614756,0.10027429348508984,0.2504647112300884,0.14320637928202454,0.07582826600896217,0.3398222331604425,0.1426891172591105,0.20815647988981778,0.07445195829589772
44,0.6604640556220821,0.33796370139922344,0.6761072674043942,0.3023490018487227,0.3835984668683959,0.027120463114031067,0.030984125225928458,0.04506189714797386,0.10299358561909902,0.253443312226842,0.14612709580405728,0.0771383518447557,0.3594042674029169,0.15172403957245595,0.21877345777270565,0.07618227969639488
45,0.6813900853758063,0.3408167059095358,0.699129284722616,0.31424430859680735,0.3948755724500032,0.02933469830294023,0.02967759693371011,0.043531666703745746,0.1017157662169297,0.2574683163690903,0.14612061878884594,0.07882743662434269,0.3806106415491565,0.16052261993722727,0.2309370822019191,0.0775324143521616
46,0.7043611208666962,0.34448853151933573,0.72215384592009,0.32372053686163627,0.4083532200832416,0.02913458123645891,0.03237775964021167,0.04590733583517436,0.101037481028441,0.2617930319767728,0.14995571918975853,0.07919916987259719,0.4031389735959946,0.16984735536393886,0.24400068716160483,0.0780338726790186
47,0.7266631890982165,0.34526303822674903,0.745024442834207,0.33455344117944,0.4200861487509109,0.028224681267157523,0.031158800857396148,0.04571417488904055,0.10112963068360431,0.26389972919096955,0.14849388685880113,0.08055115448265462,0.42605551081789605,0.1794898537734309,0.25738220917849314,0.07927331997121893
48,0.7475181117052131,0.3503058637793524,0.7691627827621318,0.34768719617838445,0.43116316711504554,0.029511861173940727,0.03081110715836619,0.04602088571422678,0.10351714737085735,0.2670155375578307,0.1528790240549566,0.08164077545085065,0.4460545130683341,0.18790504864773405,0.2693613382253112,0.0811770023202736
49,0.767296192775285,0.3502878038778192,0.7902847265061808,0.3576231050775177,0.4421880983408693,0.02794945745756386,0.030387536958470365,0.043861461761184245,0.10181424822263897,0.2697561257272342,0.15581642326070047,0.08202979878000366,0.46911301198966765,0.1974937436446501,0.28276982649281157,0.08219842200784988
50,0.7900199918910834,0.35474475872638883,0.8135373248837321,0.36892710283632885,0.4539442933019661,0.029239116367050594,0.03107103811283764,0.046131107498943474,0.10156922421337727,0.275102294196672,0.15833775874959785,0.0830462020303859,0.4893624624137201,0.2049081216993078,0.29522097897410077,0.08399603761091552
51,0.8095645735818724,0.35712743384400475,0.8360290117624558,0.380779475561655,0.4646476228427446,0.029564676052175335,0.031880407154871164,0.047180822693442204,0.10168982161366899,0.2769651326154335,0.1604322988756395,0.08469361846685386,0.5100336835527222,0.21209201310285597,0.3090761703513862,0.08454212779065459
52,0.832789566734876,0.35865625647729926,0.8605717749146667,0.39300665290708403,0.47662278615303344,0.029893889754340177,0.03082578837968673,0.04690612096714228,0.10408339133767863,0.2756125564651968,0.1607287582660108,0.08535406443934769,0.5341618339650118,0.22088970836882207,0.32426366111842064,0.0859186884270298
53,0.852830636817824,0.3603846779707985,0.8807787294037988,0.4020325934625279,0.4875881265793715,0.0285469074669381,0.03286615560396719,0.04645588390235568,0.10228263654080166,0.2784840828205167,0.1639730653679627,0.08459188369333541,0.5552711959944447,0.2297852045720965,0.3365258290735403,0.08779605428005947
54,0.8734476210665106,0.3614764393653011,0.9016680882349899,0.4119539015679024,0.4987595975378681,0.02931952650768144,0.03231575944192413,0.046945957471574935,0.10113624246302383,0.28132982506387494,0.1642715469615513,0.08641353075935676,0.578595970688785,0.23955260267726053,0.35026816553576173,0.08984996948812514
