
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,198,2,3,0,3,3,0,3,2,0,0,0,0,0,0,0
1,197,3,3,0,3,0,0,0,3,0,0,0,0,0,0,0
2,198,2,3,0,3,0,0,0,1,1,0,0,0,0,0,0
3,197,3,4,0,4,1,0,1,1,2,0,0,0,0,0,0
4,196,4,4,0,4,0,0,0,1,3,1,1,0,0,0,0
5,195,5,5,1,4,1,1,0,2,3,2,1,0,0,0,0
6,194,6,6,2,4,1,1,0,2,4,2,1,0,0,0,0
7,195,5,6,2,4,0,0,0,2,3,2,0,0,0,0,0
8,193,7,7,3,4,1,1,0,2,5,3,1,0,0,0,0
9,193,7,7,3,4,0,0,0,2,5,3,1,0,0,0,0
10,193,7,7,3,4,0,0,0,1,6,3,2,0,0,0,0
11,191,9,9,3,6,2,0,2,3,6,3,2,0,0,0,0
12,191,7,9,3,6,0,0,0,2,5,2,2,2,0,2,0
13,191,6,9,3,6,0,0,0,0,6,1,2,3,0,3,0
14,188,8,11,4,7,2,1,1,2,6,2,2,3,0,3,1
15,187,10,13,5,8,2,1,1,4,6,4,2,3,0,3,1
16,185,11,15,6,9,2,1,1,6,5,3,2,4,0,4,1
17,183,13,17,8,9,2,2,0,7,6,3,2,4,0,4,1
18,183,12,17,8,9,0,0,0,5,7,3,1,5,1,4,1
19,181,14,19,8,11,2,0,2,6,8,4,1,5,1,4,1
20,181,13,19,8,11,0,0,0,4,9,6,0,6,2,4,1
21,181,13,19,8,11,0,0,0,2,11,6,1,6,2,4,1
22,177,15,22,9,13,3,1,2,3,12,7,1,7,3,4,2
23,175,16,25,11,14,3,2,1,6,10,7,1,9,3,6,2
24,175,16,25,11,14,0,0,0,6,10,8,2,9,3,6,2
25,174,17,26,11,15,1,0,1,3,14,8,2,9,3,6,2
26,170,21,30,12,18,4,1,3,5,16,8,2,9,3,6,2
27,165,24,34,15,19,4,3,1,8,16,11,2,10,3,7,3
28,162,26,38,15,23,4,0,4,12,14,10,3,12,4,8,3
29,161,26,39,15,24,1,0,1,9,17,11,2,13,5,8,3
30,161,24,39,15,24,0,0,0,7,17,9,2,15,6,9,3
31,159,24,41,15,26,2,0,2,3,21,10,3,17,8,9,3
32,158,23,42,16,26,1,1,0,3,20,10,3,19,8,11,3
33,156,25,44,17,27,2,1,1,4,21,14,5,19,8,11,3
34,155,24,45,18,27,1,1,0,5,19,13,5,19,8,11,5
