Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,199.561,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.104
1,199.597,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.211
2,199.594,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.108,0.0,0.0,0.0,0.0,0.0,0.325
3,199.564,0.331,0.011,0.008,0.003,0.011,0.008,0.003,0.115,0.216,0.0,0.0,0.0,0.0,0.0,0.43
4,199.518,0.372,0.048,0.031,0.017,0.037,0.023,0.014,0.06,0.312,0.058,0.029,0.0,0.0,0.0,0.54
5,199.427,0.48,0.121,0.074,0.047,0.073,0.043,0.03,0.133,0.347,0.126,0.07,0.0,0.0,0.0,0.633
6,199.366,0.533,0.19,0.116,0.074,0.069,0.042,0.027,0.19,0.343,0.204,0.117,0.0,0.0,0.0,0.734
7,199.286,0.638,0.249,0.147,0.102,0.059,0.031,0.028,0.22,0.418,0.196,0.146,0.0,0.0,0.0,0.81
8,199.187,0.689,0.314,0.179,0.135,0.065,0.032,0.033,0.227,0.462,0.189,0.136,0.0,0.0,0.0,0.934
9,199.104,0.777,0.401,0.226,0.175,0.087,0.047,0.04,0.23,0.547,0.253,0.136,0.0,0.0,0.0,1.053
10,198.963,0.946,0.513,0.28,0.233,0.112,0.054,0.058,0.301,0.645,0.29,0.18,0.0,0.0,0.0,1.144
11,198.865,1.04,0.613,0.328,0.285,0.1,0.048,0.052,0.354,0.686,0.354,0.184,0.0,0.0,0.0,1.239
12,198.67,1.125,0.745,0.396,0.349,0.132,0.068,0.064,0.386,0.739,0.369,0.176,0.114,0.0,0.114,1.33
13,198.595,1.097,0.864,0.451,0.413,0.119,0.055,0.064,0.385,0.712,0.327,0.15,0.228,0.0,0.228,1.418
