Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,0.04428065917278983,0.04349541183677712,0.03537184144439143,0.0,0.03537184144439143,0.0,0.03537184144439143,0.03537184144439143,0.04349541183677712,0.0,0.0,0.0,0.0,0.0,0.0,0.010278942389986272
1,0.04532819923232828,0.04420435527213382,0.03537184144439143,0.0,0.03537184144439143,0.0,0.0,0.0,0.04420435527213382,0.0,0.0,0.0,0.0,0.0,0.0,0.013553401591286767
2,0.04448328633051703,0.04349541183677712,0.03537184144439143,0.0,0.03537184144439143,0.0,0.0,0.0,0.03931799721380662,0.032127374125006984,0.0,0.0,0.0,0.0,0.0,0.016778722404448006
3,0.05036482518202179,0.049569073958397616,0.041175410312641866,0.012811679793810767,0.03748612022081252,0.012811679793810767,0.009676240469812109,0.016465178471614033,0.030694073143297976,0.04100689656101234,0.0,0.0,0.0,0.0,0.0,0.019473526085899754
4,0.06114338487124764,0.06051198807427088,0.051623405311699226,0.02368712899614641,0.04060523100272655,0.017852246432947947,0.013133487293498575,0.02284394549647337,0.029846118521355346,0.04349541183677712,0.025839246635044662,0.020855549715937817,0.0,0.0,0.0,0.0217196395629104
5,0.07412290607636216,0.07352662895281659,0.06376056312023452,0.032215475114249624,0.045580572490794675,0.02084068939201231,0.015529332250942414,0.02618940405745967,0.03972214557207163,0.0463131612925409,0.034648586183631286,0.028897596285349946,0.0,0.0,0.0,0.024079427294244747
6,0.08349893455650839,0.08292333978006602,0.07309893606923738,0.03916296385282576,0.049611009385541145,0.01917286099147956,0.0164124760279907,0.02582591678872171,0.04404555608697671,0.05244873563652293,0.03864879984850409,0.03229268985107647,0.0,0.0,0.0,0.025892961310855223
7,0.09638409564805749,0.09580594333745053,0.08594721009388799,0.04615930763867328,0.05596344259341903,0.02095208796253944,0.016874855873777433,0.0279312576722774,0.05009956053665507,0.061833319168223204,0.03966262881005398,0.03271423575786573,0.0,0.0,0.0,0.028037565962563606
8,0.1102028296536149,0.10982639408100786,0.09948021065675482,0.05204491015145162,0.06392497479391293,0.01975320706085949,0.019385737200498895,0.02903699617982458,0.053923573247252,0.07236349546197637,0.043713096834185,0.033988221477435375,0.0,0.0,0.0,0.02954061014345587
9,0.1229496507380831,0.12249798674572883,0.11216775653281831,0.05937276416948368,0.07062982778240773,0.02293141621989034,0.01991282301735544,0.03174750232544135,0.05625140194004252,0.08424412188439068,0.04991267649881416,0.0377543294125242,0.0,0.0,0.0,0.030959238919496625
10,0.1373493678501974,0.1370937441851184,0.12667605070344523,0.06603760265912872,0.07886075080810491,0.02145003739167147,0.021666666666666667,0.030692360955472637,0.05937976891969989,0.09482332235511716,0.057221265918129365,0.040485529242904536,0.0,0.0,0.0,0.03292458090892013
11,0.15384929510922568,0.15324112320732264,0.14286108038331605,0.07328349384732193,0.08756201291716692,0.023628421494088482,0.023412563895228312,0.0333631098235326,0.061962814577699664,0.10963592493355467,0.06607211608934986,0.04433090602761497,0.0,0.0,0.0,0.035159795380678927
12,0.1723565803524507,0.15933515522850475,0.16156216553801614,0.08187930275851292,0.0982976980271534,0.023669732914763875,0.02614895347366253,0.03697246222478242,0.06629626078591608,0.11191047741366739,0.06568417168854616,0.041492428485467345,0.032115345170111366,0.0,0.032115345170111366,0.036879792829124174
13,0.1885336042193007,0.1634866719090333,0.17858021977502125,0.08875224482209429,0.1074305232106654,0.02194213885329909,0.024030990168706915,0.03447009119783682,0.06915036350427071,0.11406402413382409,0.06604211202377284,0.04024786815336797,0.041222558136283824,0.0,0.041222558136283824,0.0381751403578473
14,0.2042492637973556,0.1717768386083592,0.19480228933955557,0.09433286643418448,0.11716281887239709,0.019446778066743525,0.024892943953230176,0.03345437482893972,0.06989509513781582,0.12113900552117249,0.06885489813366219,0.04075027097559701,0.0436757549628117,0.0,0.0436757549628117,0.03951153200220363
15,0.22102916072294598,0.18746124324168373,0.21189148638395552,0.10151729784505575,0.12640332986832983,0.020054355566239898,0.024371478596280714,0.033339338798355184,0.0695220059355979,0.13470244522186206,0.07824495685520744,0.045501531725749514,0.04562008540316636,0.006882322745001601,0.044548946212100336,0.04121710627700409
