Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,0.16074008130324477,0.1553458182003083,0.1553458182003083,0.1553458182003083,0.1553458182003083,0.0,0.0,0.0,0.0,0.0,0.0,0.06279677016721755
1,0.16333333333333333,0.1553458182003083,0.1553458182003083,0.0,0.1553458182003083,0.0,0.0,0.0,0.0,0.0,0.0,0.08192137151629672
2,0.16835208416418324,0.1553458182003083,0.1553458182003083,0.0,0.13392293879449305,0.09544684913657973,0.0,0.0,0.0,0.0,0.0,0.09285592184789412
3,0.18171739630869718,0.17470321153662893,0.17470321153662893,0.048606854070452475,0.10576799462440747,0.12557343217690145,0.0,0.0,0.0,0.0,0.0,0.10922592654815537
4,0.2122891110412088,0.20984843014986704,0.20984843014986704,0.05773502691896258,0.0915577865767204,0.1553458182003083,0.06871842709362767,0.06116710015534611,0.0,0.0,0.0,0.11481649830415612
5,0.2556907854768681,0.24638599920868193,0.24638599920868193,0.07028800779936817,0.12247861078984404,0.15974727515420073,0.10442724982039173,0.07299508769967215,0.0,0.0,0.0,0.11710307986185212
6,0.2761111619210164,0.26949072808772573,0.26949072808772573,0.07316785737969476,0.13492983586316482,0.17716909687891083,0.12102257907706582,0.09476712552783312,0.0,0.0,0.0,0.12777821695137528
7,0.33904202534419675,0.3356450144983175,0.3356450144983175,0.11935855497811898,0.1623563856446551,0.21876374415696892,0.12185021439240373,0.0978299906506541,0.0,0.0,0.0,0.14048616884363968
8,0.38071702686569525,0.37769101796376503,0.37769101796376503,0.08515582864088138,0.19488406291895183,0.24590381629549157,0.13807844352271853,0.10100505037878157,0.0,0.0,0.0,0.15314547121457872
9,0.42548130797291606,0.4286825012391885,0.4286825012391885,0.09173413495069062,0.2034525234371137,0.27523360142528996,0.16111981864313268,0.11218221108914053,0.0,0.0,0.0,0.16200760675494424
10,0.4831671605671324,0.4881411867296369,0.4881411867296369,0.09268170795739032,0.20301763868236083,0.3285643703363855,0.18071407183054605,0.12366049972371611,0.0,0.0,0.0,0.16382732964738803
