
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,595,5,5,5,5,0,0,0,0,0,0,0
1,595,5,5,0,5,0,0,0,0,0,0,0
2,594,5,5,0,4,1,0,0,0,0,0,1
3,594,5,5,0,2,3,0,0,0,0,0,2
4,594,6,6,1,1,5,0,1,0,0,0,2
5,592,7,7,1,2,5,1,2,0,0,0,3
6,591,8,8,1,3,5,2,3,0,0,0,4
7,590,10,10,2,4,6,2,3,0,0,0,4
8,586,14,14,4,7,7,2,3,0,0,0,4
9,584,16,16,2,7,9,2,4,0,0,0,4
10,583,17,17,1,3,14,2,5,0,0,0,4
11,581,19,19,2,4,15,2,7,0,0,0,4
12,579,20,21,2,5,15,6,7,1,0,1,4
13,576,20,23,2,6,14,6,6,3,0,3,5
14,576,19,24,1,4,15,5,6,5,0,5,5
15,573,22,27,3,6,16,6,6,5,0,5,5
16,568,27,32,5,10,17,8,7,5,0,5,5
17,564,30,36,4,11,19,8,7,6,1,5,5
18,562,31,38,2,11,20,9,6,7,1,6,5
19,560,31,40,2,7,24,12,4,9,1,8,5
20,559,27,41,1,5,22,8,5,14,3,11,5
21,556,29,44,3,7,22,12,6,15,3,12,5
22,553,31,47,3,7,24,13,7,16,3,13,5
23,551,32,49,2,7,25,13,7,17,3,14,5
24,551,29,49,0,4,25,13,7,20,5,15,5
25,547,32,53,4,7,25,15,6,21,6,15,5
26,544,34,56,3,8,26,17,6,22,7,15,5
27,541,34,59,3,9,25,14,7,25,10,15,5
28,539,33,61,2,9,24,15,5,27,11,16,6
29,534,33,67,6,12,21,12,4,33,15,18,6
30,531,33,70,3,11,22,11,4,36,17,19,6
31,523,37,76,6,14,23,12,4,37,17,20,9
32,522,38,80,4,13,25,14,3,40,18,22,9
33,517,42,85,5,17,25,16,3,41,18,23,9
34,513,42,88,3,11,31,17,4,44,19,25,10
35,509,45,92,4,12,33,18,3,45,19,26,11
36,507,46,94,2,9,37,24,5,46,19,27,12
37,503,48,98,4,6,42,24,6,48,19,29,13
38,498,51,103,5,10,41,28,5,50,20,30,14
39,496,51,106,3,12,39,29,8,53,20,33,14
40,487,55,115,9,18,37,25,8,57,22,35,15
41,479,61,124,9,21,40,22,9,60,23,37,15
42,475,60,128,4,20,40,20,9,65,26,39,15
43,467,66,135,7,22,44,24,10,66,26,40,16
44,462,63,141,6,18,45,20,10,74,29,45,17
45,458,65,146,5,16,49,23,9,77,30,47,17
46,453,65,151,5,18,47,25,12,82,33,49,17
47,446,65,158,7,16,49,27,10,89,38,51,17
48,436,74,168,10,19,55,27,12,90,39,51,17
49,430,77,173,5,19,58,31,15,91,39,52,19
50,426,80,179,6,21,59,36,14,94,41,53,19
51,421,80,184,5,19,61,36,14,99,44,55,19
52,414,82,191,7,20,62,36,13,104,44,60,19
53,408,83,197,6,19,64,35,16,108,46,62,20
54,404,79,202,5,15,64,35,13,117,50,67,20
