Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,595.74,3.93,3.93,3.93,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.33
1,595.76,3.93,3.93,0.0,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.64
2,595.77,3.93,3.93,0.0,2.56,1.37,0.0,0.0,0.0,0.0,0.0,0.94
3,595.46,4.28,4.28,0.35,1.54,2.74,0.0,0.0,0.0,0.0,0.0,1.2
4,594.89,4.78,4.78,0.5,0.85,3.93,0.7,0.67,0.0,0.0,0.0,1.53
5,594.16,5.49,5.49,0.71,1.44,4.05,1.52,1.22,0.0,0.0,0.0,1.88
6,593.43,6.22,6.22,0.73,1.88,4.34,2.13,1.8,0.0,0.0,0.0,2.23
7,592.67,7.05,7.05,0.83,2.26,4.79,2.23,1.82,0.0,0.0,0.0,2.51
8,591.74,7.94,7.95,0.9,2.47,5.47,2.46,1.88,0.0,0.0,0.0,2.83
9,590.84,8.86,8.88,0.93,2.53,6.33,2.81,1.97,0.0,0.0,0.0,3.13
10,589.76,10.03,10.07,1.19,2.87,7.16,3.22,2.23,0.0,0.0,0.0,3.34
11,588.36,11.33,11.4,1.33,3.46,7.87,3.81,2.47,0.0,0.0,0.0,3.65
12,587.15,11.16,12.64,1.24,3.7,7.46,3.73,1.99,1.37,0.0,1.37,3.97
13,586.11,10.8,13.71,1.07,3.49,7.31,3.38,1.65,2.74,0.0,2.74,4.32
14,585.12,10.6,14.73,1.02,3.26,7.34,3.45,1.37,3.93,0.0,3.93,4.67
15,584.18,11.37,15.67,0.94,3.14,8.23,4.21,1.73,4.03,0.04,3.99,5.09
16,582.99,12.37,16.96,1.29,3.36,9.01,4.86,2.03,4.28,0.19,4.09,5.45
17,581.68,13.34,18.35,1.39,3.73,9.61,5.21,2.31,4.65,0.4,4.25,5.78
18,580.35,14.05,19.77,1.42,4.04,10.01,5.55,2.33,5.31,0.77,4.54,6.07
19,578.96,14.63,21.17,1.4,4.23,10.4,5.7,2.38,6.11,1.18,4.93,6.37
20,577.51,15.26,22.65,1.48,4.14,11.12,5.77,2.57,6.92,1.6,5.32,6.68
21,575.96,16.08,24.19,1.54,4.45,11.63,6.11,2.72,7.6,1.95,5.65,7.04
22,574.15,16.95,26.08,1.89,4.84,12.11,6.4,2.98,8.55,2.45,6.1,7.39
23,572.28,17.65,28.01,1.93,5.4,12.25,6.42,2.96,9.75,3.15,6.6,7.72
24,570.5,18.16,29.81,1.8,5.61,12.55,6.47,3.12,10.97,3.78,7.19,8.1
25,568.76,18.88,31.58,1.77,5.53,13.35,6.78,3.13,11.98,4.21,7.77,8.5
26,567.23,19.45,33.28,1.7,5.45,14.0,7.04,3.33,13.01,4.68,8.33,8.83
27,565.29,20.45,35.33,2.05,5.58,14.87,7.57,3.61,13.97,4.98,8.99,9.16
28,563.21,21.5,37.52,2.19,5.83,15.67,8.05,3.77,15.05,5.29,9.76,9.44
29,561.01,22.47,39.75,2.23,6.34,16.13,8.46,4.02,16.24,5.72,10.52,9.76
30,558.66,23.39,42.2,2.45,6.8,16.59,8.88,4.0,17.73,6.18,11.55,10.02
31,556.19,24.47,44.58,2.38,7.16,17.31,9.15,4.15,18.9,6.63,12.27,10.51
32,554.01,25.39,46.99,2.41,6.98,18.41,9.54,4.26,20.33,7.1,13.23,10.83
33,551.66,26.42,49.38,2.39,7.22,19.2,10.01,4.46,21.61,7.61,14.0,11.2
34,548.96,27.67,52.18,2.8,7.53,20.14,10.67,4.84,23.11,8.18,14.93,11.52
35,546.11,28.65,55.04,2.86,8.11,20.54,10.85,4.93,24.91,8.98,15.93,11.92
36,543.34,29.83,57.99,2.95,8.27,21.56,11.31,5.21,26.6,9.75,16.85,12.23
37,540.4,30.87,61.02,3.03,8.95,21.92,11.55,5.25,28.48,10.44,18.04,12.56
38,537.58,31.86,63.89,2.87,8.98,22.88,12.09,5.6,30.31,11.19,19.12,12.9
39,534.68,33.04,66.82,2.93,9.06,23.98,12.51,5.78,31.95,11.82,20.13,13.34
40,531.48,34.36,70.15,3.33,9.16,25.2,13.07,6.05,33.89,12.49,21.4,13.72
41,528.01,35.95,73.79,3.64,9.72,26.23,13.6,6.32,35.86,13.33,22.53,14.05
42,524.57,36.8,77.28,3.49,10.5,26.3,13.99,6.52,38.37,14.28,24.09,14.46
43,520.93,38.32,80.97,3.69,10.61,27.71,14.67,6.76,40.44,15.06,25.38,14.93
44,517.73,39.14,84.39,3.42,10.81,28.33,14.65,6.89,42.83,16.07,26.76,15.41
