
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,598,2,2,2,2,0,0,0,0,0,0,0
1,597,2,2,0,2,0,0,0,0,0,0,1
2,598,2,2,0,1,1,0,0,0,0,0,1
3,598,2,2,0,0,2,0,0,0,0,0,1
4,598,2,2,0,0,2,1,0,0,0,0,1
5,597,3,3,1,1,2,1,1,0,0,0,1
6,595,3,3,0,1,2,1,1,0,0,0,3
7,596,4,4,1,2,2,1,1,0,0,0,3
8,595,4,4,0,2,2,1,1,0,0,0,4
9,595,4,4,0,0,4,1,1,0,0,0,5
10,595,5,5,1,1,4,1,1,0,0,0,5
11,595,5,5,0,1,4,2,2,0,0,0,5
12,594,4,5,0,1,3,1,2,1,0,1,6
13,595,3,5,0,0,3,1,1,2,0,2,6
14,595,3,5,0,0,3,1,1,2,0,2,6
15,595,3,5,0,0,3,1,2,2,0,2,6
16,594,4,6,1,1,3,1,2,2,0,2,6
17,594,4,6,0,1,3,1,2,2,0,2,6
18,594,4,6,0,1,3,1,2,2,0,2,6
19,594,2,6,0,0,2,0,1,4,2,2,6
20,593,3,7,1,1,2,0,1,4,2,2,6
21,592,3,7,0,1,2,1,1,4,2,2,7
22,592,4,8,1,2,2,1,1,4,2,2,7
23,592,3,8,0,2,1,1,0,5,2,3,7
24,592,3,8,0,1,2,1,0,5,2,3,7
25,592,3,8,0,0,3,1,0,5,2,3,7
26,590,5,10,2,2,3,2,0,5,2,3,7
27,589,5,10,0,2,3,3,0,5,2,3,8
28,588,7,12,2,3,4,3,0,5,2,3,8
29,587,6,12,0,2,4,2,0,6,3,3,9
30,588,6,12,0,0,6,2,1,6,3,3,9
31,585,8,14,2,2,6,3,1,6,3,3,10
32,585,9,15,1,3,6,4,2,6,3,3,10
33,585,9,15,0,3,6,4,2,6,3,3,10
34,585,8,15,0,0,8,3,2,7,3,4,10
35,584,7,15,0,0,7,2,2,8,3,5,11
36,584,8,16,1,1,7,5,2,8,3,5,11
37,582,10,18,2,3,7,5,2,8,3,5,11
38,582,9,18,0,2,7,5,1,9,4,5,11
39,582,8,18,0,2,6,4,1,10,4,6,11
40,581,7,19,1,1,6,4,0,12,5,7,11
41,579,7,20,1,2,5,3,0,12,5,7,13
42,581,7,20,0,1,6,4,1,12,5,7,13
43,580,8,21,1,2,6,4,1,12,5,7,13
44,578,7,22,1,2,5,3,1,14,6,8,14
45,578,8,23,1,3,5,3,1,14,6,8,14
46,575,9,24,1,2,7,3,2,14,6,8,16
47,576,10,25,1,3,7,3,2,14,6,8,16
48,575,10,26,1,2,8,3,3,15,7,8,16
49,572,10,26,0,2,8,3,3,15,7,8,19
50,571,11,29,3,3,8,4,2,17,7,10,20
51,571,12,30,1,4,8,4,2,17,7,10,20
52,569,13,32,2,4,9,5,2,18,7,11,20
53,566,16,35,3,7,9,5,2,18,7,11,20
54,564,14,35,0,3,11,6,1,19,7,12,23
55,566,14,36,1,4,10,5,1,19,7,12,24
56,567,12,36,0,3,9,6,2,21,8,13,24
57,567,12,36,0,1,11,6,2,21,8,13,24
58,563,15,40,4,5,10,6,2,22,9,13,25
59,562,17,42,2,6,11,8,2,22,9,13,25
60,559,17,44,2,8,9,6,2,24,10,14,26
61,559,17,45,1,6,11,5,3,24,10,14,27
62,558,18,47,2,5,13,4,3,25,10,15,27
63,555,21,50,3,6,15,7,3,25,10,15,27
64,555,18,50,0,3,15,9,1,28,11,17,27
65,555,18,50,0,1,17,10,2,28,11,17,27
66,553,19,52,2,3,16,11,3,29,11,18,27
67,546,20,55,3,5,15,11,3,31,11,20,31
68,548,22,57,2,7,15,11,3,31,11,20,31
69,548,21,57,0,4,17,11,3,32,11,21,31
70,546,23,59,2,5,18,11,3,32,11,21,31
71,546,20,59,0,3,17,11,3,35,13,22,31
72,544,19,61,2,3,16,8,4,38,14,24,31
73,541,20,64,3,6,14,9,3,40,15,25,31
74,540,18,65,1,5,13,9,2,43,17,26,31
