Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,593.52,6.15,6.15,6.15,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.33
1,593.48,6.15,6.15,0.0,6.15,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2,593.61,6.15,6.15,0.0,4.1,2.05,0.0,0.0,0.0,0.0,0.0,0.94
3,593.17,6.59,6.59,0.44,2.51,4.08,0.0,0.0,0.0,0.0,0.0,1.18
4,592.39,7.33,7.33,0.74,1.18,6.15,1.26,0.79,0.0,0.0,0.0,1.46
5,591.29,8.47,8.47,1.14,2.16,6.31,2.53,1.55,0.0,0.0,0.0,1.7
6,590.04,9.63,9.63,1.16,2.91,6.72,3.77,2.38,0.0,0.0,0.0,2.03
7,588.8,10.96,10.96,1.33,3.41,7.55,3.87,2.44,0.0,0.0,0.0,2.27
8,587.39,12.28,12.29,1.33,3.94,8.34,4.21,2.51,0.0,0.0,0.0,2.6
9,585.9,13.76,13.77,1.48,4.17,9.59,4.81,2.74,0.0,0.0,0.0,2.94
10,584.26,15.43,15.47,1.7,4.36,11.07,5.43,2.9,0.0,0.0,0.0,3.25
11,582.51,17.16,17.21,1.74,4.68,12.48,6.38,3.19,0.0,0.0,0.0,3.58
12,579.99,17.64,19.75,2.54,5.91,11.73,6.14,2.86,2.05,0.0,2.05,3.9
13,578.31,17.25,21.47,1.72,6.25,11.0,5.79,2.53,4.08,0.0,4.08,4.26
14,576.57,16.86,23.21,1.74,5.78,11.08,5.41,2.09,6.15,0.0,6.15,4.68
15,575.32,18.06,24.65,1.44,5.21,12.85,6.13,2.5,6.31,0.08,6.23,4.99
16,573.44,19.4,26.46,1.81,5.01,14.39,7.45,2.92,6.71,0.39,6.32,5.44
17,571.65,20.57,28.48,2.02,5.5,15.07,8.18,3.35,7.48,0.79,6.69,5.74
18,569.67,21.64,30.45,1.97,5.74,15.9,8.89,3.75,8.22,1.28,6.94,6.21
19,567.18,23.08,33.11,2.66,6.81,16.27,9.1,3.85,9.37,1.89,7.48,6.58
20,564.69,24.21,35.7,2.59,7.52,16.69,9.32,3.9,10.77,2.58,8.19,6.91
21,562.33,25.1,38.06,2.36,7.42,17.68,9.3,4.04,12.13,3.41,8.72,7.35
22,559.72,26.51,40.76,2.7,7.8,18.71,9.64,4.29,13.33,4.01,9.32,7.79
23,557.17,27.73,43.5,2.74,7.89,19.84,10.31,4.56,14.64,4.57,10.07,8.25
24,554.27,28.61,46.51,3.01,8.4,20.21,10.2,4.87,16.65,5.45,11.2,8.72
25,551.85,29.19,49.09,2.58,8.3,20.89,10.65,5.07,18.55,6.19,12.36,9.13
26,549.13,30.05,51.97,2.88,8.56,21.49,11.02,5.18,20.45,6.91,13.54,9.51
27,546.39,31.36,54.83,2.86,8.74,22.62,11.69,5.64,21.87,7.37,14.5,9.9
28,543.33,32.73,57.94,3.11,8.98,23.75,12.29,5.91,23.51,7.87,15.64,10.35
29,539.97,34.52,61.36,3.42,9.52,25.0,13.03,6.23,25.0,8.37,16.63,10.89
30,537.04,35.86,64.55,3.19,9.71,26.15,13.75,6.53,26.75,9.05,17.7,11.27
31,533.78,36.73,67.84,3.29,10.0,26.73,14.09,6.65,29.08,9.97,19.11,11.71
32,530.62,37.73,71.2,3.36,9.9,27.83,14.71,6.67,31.3,10.8,20.5,12.11
33,527.03,38.77,74.89,3.69,10.32,28.45,15.07,6.66,33.77,11.86,21.91,12.6
34,523.69,39.67,78.38,3.49,10.61,29.06,15.54,7.07,36.21,12.91,23.3,13.11
35,520.02,40.83,82.31,3.93,11.07,29.76,15.98,7.13,38.79,13.98,24.81,13.55
36,516.26,42.28,86.35,4.04,11.67,30.61,16.39,7.32,41.26,15.11,26.15,13.86
37,512.58,43.38,90.16,3.81,11.57,31.81,16.71,7.76,43.83,16.11,27.72,14.2
38,508.45,44.68,94.37,4.21,12.03,32.65,16.97,8.03,46.57,17.29,29.28,14.64
39,504.59,45.71,98.3,3.93,12.14,33.57,17.68,8.34,49.29,18.44,30.85,15.22
40,500.87,46.84,102.38,4.08,12.19,34.65,18.09,8.73,52.1,19.61,32.49,15.61
41,496.58,48.14,106.72,4.34,12.53,35.61,18.55,9.03,54.97,20.81,34.16,16.15
42,492.48,49.11,111.07,4.35,12.98,36.13,19.2,9.05,58.23,22.15,36.08,16.57
43,488.48,49.92,115.18,4.11,12.93,36.99,19.61,9.33,61.36,23.51,37.85,17.08
44,484.71,50.8,119.28,4.1,12.38,38.42,20.08,9.53,64.37,24.85,39.52,17.5
45,480.72,51.41,123.47,4.19,12.17,39.24,20.76,9.44,67.69,26.16,41.53,17.99
46,476.65,52.16,127.74,4.27,12.57,39.59,21.8,9.53,71.06,27.61,43.45,18.47
47,472.93,52.33,131.79,4.05,12.51,39.82,22.05,9.79,74.74,29.33,45.41,18.84
48,468.34,53.24,136.48,4.69,12.82,40.42,22.23,9.71,78.27,30.71,47.56,19.41
49,464.35,53.61,140.72,4.24,13.02,40.59,22.48,9.71,81.9,32.18,49.72,19.99
50,460.04,54.14,145.33,4.61,13.64,40.5,22.53,9.95,85.71,33.7,52.01,20.57
51,456.23,54.12,149.39,4.06,13.14,40.98,22.41,10.02,89.48,35.41,54.07,21.25
52,452.39,54.52,153.65,4.26,13.03,41.49,22.58,9.99,93.14,36.96,56.18,21.75
53,448.45,54.54,157.86,4.21,13.01,41.53,22.71,10.23,97.09,38.56,58.53,22.22
54,444.34,54.35,162.22,4.36,12.81,41.54,22.53,10.22,101.43,40.34,61.09,22.72
55,440.33,54.26,166.47,4.25,12.62,41.64,22.78,9.87,105.59,41.9,63.69,23.2
56,436.51,54.41,170.53,4.06,12.91,41.5,23.14,10.17,109.28,43.36,65.92,23.73
57,432.6,54.43,174.69,4.16,12.59,41.84,23.36,10.25,113.19,44.95,68.24,24.27
