
Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,199,1,1,1,1,0,0,0,0,0
1,199,1,1,0,1,0,0,0,0,0
2,199,1,1,0,1,0,0,0,0,0
3,196,3,3,2,3,0,0,0,0,1
4,197,3,3,0,2,1,0,0,0,1
5,196,3,3,0,0,3,0,0,0,2
6,197,3,3,0,0,3,1,0,0,2
7,195,5,5,2,2,3,2,1,0,2
8,194,6,6,1,3,3,2,1,0,2
9,190,10,10,4,7,3,2,1,0,2
10,190,10,10,0,5,5,2,1,0,2
11,188,12,12,2,4,8,2,1,0,2
12,188,12,12,0,3,9,3,2,0,2
13,185,14,14,2,4,10,6,2,0,3
14,185,14,15,1,4,10,6,2,1,3
15,183,14,17,2,5,9,6,1,3,3
16,179,18,21,4,7,11,7,1,3,3
17,172,25,28,7,13,12,7,2,3,3
18,170,27,30,2,11,16,9,2,3,3
19,167,30,33,3,10,20,10,2,3,3
20,162,33,38,5,14,19,13,1,5,3
21,156,36,44,6,14,22,13,2,8,3
22,153,37,47,3,15,22,11,3,9,4
23,152,37,48,1,10,27,16,3,10,5
24,149,40,52,4,8,32,16,4,11,5
25,143,45,58,6,12,33,21,4,12,5
26,142,44,59,1,10,34,23,6,13,6
27,136,50,66,7,13,37,23,7,14,6
28,131,51,71,5,16,35,21,8,18,6
29,127,51,75,4,16,35,20,9,22,6
30,124,53,78,3,14,39,22,8,23,6
31,117,55,85,7,14,41,20,9,28,6
32,114,56,88,3,14,42,21,11,30,6
33,108,56,94,6,17,39,19,14,36,6
34,105,53,97,3,15,38,17,13,42,6
35,100,56,102,5,12,44,18,13,44,6
36,93,60,109,7,17,43,21,12,47,6
37,88,61,114,5,14,47,22,15,51,6
38,86,61,116,2,13,48,21,16,53,6
39,83,60,119,3,11,49,22,19,57,6
40,79,59,123,4,11,48,22,17,62,6
41,75,55,127,4,12,43,20,16,69,7
42,72,56,131,4,11,45,21,16,72,7
