Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,197.43,2.48,2.48,2.48,2.48,0.0,0.0,0.0,0.0,0.09
1,196.91,3.0,3.0,0.52,3.0,0.0,0.0,0.0,0.0,0.18
2,196.33,3.57,3.57,0.57,2.67,0.9,0.0,0.0,0.0,0.28
3,195.67,4.22,4.22,0.65,2.41,1.81,0.0,0.0,0.0,0.39
4,194.96,4.96,4.96,0.74,1.96,3.0,0.54,0.36,0.0,0.47
5,193.9,6.01,6.01,1.05,2.4,3.61,1.03,0.78,0.0,0.56
6,192.67,7.26,7.26,1.25,2.92,4.34,1.74,1.26,0.0,0.63
7,191.39,8.5,8.5,1.24,3.4,5.1,2.06,1.55,0.0,0.74
8,190.05,9.88,9.88,1.38,3.7,6.18,2.53,1.81,0.0,0.81
9,188.36,11.46,11.46,1.58,4.25,7.21,3.0,2.1,0.0,0.99
10,186.82,13.07,13.07,1.61,4.62,8.45,3.71,2.47,0.0,1.1
11,184.98,14.91,14.94,1.87,4.92,9.99,4.42,2.77,0.0,1.21
12,182.8,16.21,17.16,2.22,5.78,10.43,4.69,2.82,0.9,1.3
13,180.71,17.4,19.28,2.12,6.08,11.32,5.23,2.92,1.81,1.38
14,178.57,18.29,21.39,2.11,6.49,11.8,5.4,2.89,3.0,1.52
15,176.63,19.62,23.39,2.0,6.33,13.29,6.2,3.24,3.61,1.66
16,174.26,21.22,25.78,2.39,6.38,14.84,6.66,3.69,4.33,1.85
17,171.67,23.11,28.46,2.68,6.97,16.14,7.62,4.09,5.08,1.99
18,169.1,24.65,31.09,2.63,7.42,17.23,8.48,4.48,6.12,2.12
19,166.19,26.57,34.06,2.97,8.0,18.57,9.18,4.82,7.11,2.25
20,163.13,28.29,37.11,3.05,8.76,19.53,9.78,5.07,8.31,2.52
21,160.68,29.35,39.74,2.63,8.66,20.69,10.36,5.31,9.8,2.69
22,157.91,30.84,42.62,2.88,8.67,22.17,10.97,5.6,11.09,2.85
23,154.95,31.96,45.61,2.99,8.55,23.41,11.61,5.82,12.8,3.14
24,151.98,33.42,48.83,3.22,8.95,24.47,12.61,5.93,14.45,3.29
25,148.52,34.87,52.4,3.57,9.89,24.98,13.3,6.23,16.51,3.39
26,145.37,35.69,55.53,3.13,9.89,25.8,13.69,6.36,18.7,3.64
27,142.17,36.87,58.89,3.36,9.95,26.92,13.85,6.65,20.7,3.93
28,138.85,38.2,62.39,3.5,10.12,28.08,14.52,6.93,22.79,4.12
29,135.62,39.07,65.71,3.32,10.1,28.97,15.06,7.26,25.09,4.37
30,132.38,40.24,69.16,3.45,10.26,29.98,15.91,7.47,27.23,4.56
31,129.14,40.85,72.51,3.35,10.11,30.74,16.28,7.69,29.86,4.75
32,126.24,40.93,75.55,3.04,9.84,31.09,16.35,7.94,32.62,5.01
33,123.22,41.1,78.76,3.21,9.68,31.42,16.65,8.1,35.54,5.21
34,120.27,41.42,81.86,3.1,9.44,31.98,16.99,8.28,38.22,5.37
35,117.24,41.9,85.01,3.15,9.42,32.48,17.49,8.48,40.76,5.54
36,114.44,41.64,87.92,2.91,9.34,32.3,17.64,8.51,43.78,5.76
37,111.72,41.15,90.83,2.91,8.88,32.27,17.33,8.59,47.01,6.02
38,109.04,40.64,93.72,2.89,8.8,31.84,16.86,8.64,50.22,6.3
39,106.25,40.43,96.76,3.04,9.07,31.36,17.05,8.57,53.36,6.48
40,103.72,39.81,99.4,2.64,8.64,31.17,16.89,8.44,56.44,6.74
41,101.2,39.01,102.1,2.7,8.35,30.66,16.42,8.19,59.76,7.01
42,99.0,38.1,104.52,2.42,7.89,30.21,16.21,8.15,62.9,7.26
43,96.9,37.05,106.85,2.33,7.38,29.67,15.95,8.03,66.06,7.52
44,94.66,36.2,109.32,2.47,7.37,28.83,15.5,8.02,69.25,7.72
45,92.46,35.3,111.67,2.35,7.13,28.17,15.45,7.66,72.33,7.94
46,90.03,34.98,114.3,2.63,7.27,27.71,15.25,7.38,75.11,8.15
47,87.96,33.94,116.54,2.24,7.32,26.62,14.83,7.12,78.27,8.33
48,86.26,32.9,118.38,1.84,6.72,26.18,14.65,6.93,81.09,8.46
49,84.34,32.09,120.36,1.98,6.37,25.72,14.27,6.72,83.74,8.72
50,82.66,30.86,122.25,1.89,5.89,24.97,13.9,6.38,86.7,8.95
51,81.07,29.57,124.02,1.77,5.7,23.87,13.57,5.98,89.61,9.19
52,79.69,28.3,125.58,1.56,5.32,22.98,13.28,5.8,92.33,9.38
