Day,Susceptible,Infected,Cumulative Infected,Daily Infected,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Dead
0,0.14160337266998674,0.141049457620189,0.141049457620189,0.141049457620189,0.141049457620189,0.0,0.0,0.0,0.0,0.028762349126466143
1,0.17355172721757056,0.16937198318160146,0.16937198318160146,0.07314024165597863,0.16937198318160146,0.0,0.0,0.0,0.0,0.047947783045620564
2,0.18093751362938487,0.18600260669401839,0.18600260669401839,0.07282884321503674,0.1645655437259519,0.09156330260447351,0.0,0.0,0.0,0.05699548094792121
3,0.19594629237357233,0.20129881301491107,0.20129881301491107,0.07159792333764037,0.15511155972265883,0.12366049972371614,0.0,0.0,0.0,0.06178326405404392
4,0.2282653072743436,0.22514641700659838,0.22514641700659838,0.08241310085125539,0.13097921802925666,0.16205747826813258,0.06730002176294544,0.05599422769673259,0.0,0.06269212893420538
5,0.2603416558635552,0.26150110570096696,0.26150110570096696,0.10087996667707458,0.13706888336846837,0.18306867950073114,0.08814015468948797,0.08236406002522206,0.0,0.07152028743756218
6,0.302533076912695,0.3010486721948845,0.3010486721948845,0.10859525446781408,0.1756258649642599,0.19551537695604054,0.12195379154715638,0.09910712498212337,0.0,0.07199186261535594
7,0.36428843051359816,0.36390141855211616,0.36390141855211616,0.12801515061850605,0.18531981638085643,0.23591643786850813,0.13395310501602545,0.11043989178267832,0.0,0.07735527379460552
8,0.4295581474261686,0.42788651379410025,0.42788651379410025,0.12615526748872402,0.23804761428476168,0.2602950928341435,0.14386792484073646,0.1252835168566065,0.0,0.08609954304833048
9,0.47173010602387133,0.46826997306763934,0.46826997306763934,0.11821910833599439,0.24510356500009864,0.3019448742249271,0.17056057308448835,0.1410637795431198,0.0,0.09480975102218595
10,0.5318881936131412,0.5284348913001812,0.5284348913001812,0.13476129288711228,0.2662041443416057,0.35,0.1897872280191476,0.15403987415043818,0.0,0.10100505037878157
11,0.589295076229801,0.58224487194744,0.5828907411870736,0.14259853938362563,0.25885528892812026,0.4091121206622058,0.22391376406414532,0.16748586552755776,0.0,0.1094476490327128
12,0.6433812197596336,0.6257593367060115,0.6483420970039465,0.14946368769501822,0.26688627321067454,0.44704529406928667,0.2549291840666519,0.16840307586144607,0.09156330260447351,0.11146408580454255
13,0.7124144463964381,0.6595070090222658,0.7126674887315608,0.14583787871704273,0.2642618841875298,0.4861475022453514,0.2729764854637879,0.17272620945977896,0.12366049972371614,0.11527744310527052
14,0.7675561375185689,0.6709400912604686,0.7696116034741292,0.1434742084308134,0.27284324133728205,0.4834639321990563,0.27117402813572233,0.18196181195542377,0.16205747826813258,0.12430006054103535
15,0.8235982888606201,0.7112061173908316,0.8258323013172768,0.15374122295716147,0.288869268953024,0.5226766773933089,0.32286595398465945,0.17356627703921212,0.18306867950073114,0.12730302669638538
16,0.8973158627683775,0.7774056829992921,0.9077199763999664,0.1874307953093702,0.2977287763089491,0.5828734117640074,0.3473478156696902,0.18185075465803535,0.1954301135775377,0.1313296415417127
17,0.9995003802405529,0.8468473918307271,1.0072885897449166,0.17915627172100254,0.346251207925545,0.6000033669939199,0.35640743907256284,0.1959669112453179,0.23513589451397868,0.13446113929235456
18,1.0741686943112723,0.9085869815434859,1.0834936944249312,0.17387735140993302,0.3376029584819386,0.6511613556647163,0.40238681826713896,0.20522468593512752,0.25908931418966846,0.13800892958959085
19,1.1485339799197511,0.9366019604523752,1.157044301291664,0.19093337988826248,0.34436297505083,0.6849397230723475,0.40536303718912503,0.2071353434473473,0.2981068210686847,0.14310764472870757
20,1.1643401044316386,0.9147826368746145,1.1834630744069916,0.1526698424970721,0.3381829043101924,0.7303596733974655,0.44280556418903283,0.21094065420387698,0.34456677527913604,0.15074227118904743
21,1.2567297629043792,0.9550900322466829,1.2737140474798396,0.19261884695434195,0.3364160483326525,0.7536704796654782,0.46199392186303045,0.2389771976781488,0.3987353746407497,0.15935159018010864
22,1.3228447308048599,0.978941914889373,1.3447075458397575,0.17249213128005392,0.3513480532825741,0.7611866068875953,0.49060980401738796,0.243708718337977,0.4510582394253932,0.16414763002993507
23,1.368282488997418,0.9818473620804011,1.3974648764130284,0.19514045705541938,0.33465646489340306,0.7838128770711963,0.4838596924938076,0.2750133146455335,0.511089151921777,0.1746685172235996
24,1.4613526320335948,1.0329109596209398,1.4907157117751637,0.21441958300434588,0.3890872509976251,0.7780388450742317,0.4752234987217844,0.29653044199593237,0.5630678951471613,0.18218372345220385
25,1.5329696538405315,1.0877327917566089,1.5683099054702039,0.19553345834749952,0.3971858074712208,0.7881675461525175,0.5225230167469209,0.28914887291336744,0.6259530107900846,0.18634983935131963
26,1.5642247248713947,1.0612261823480469,1.6050082601505558,0.181828535058764,0.33721826999165033,0.8141426673675092,0.5096433690693558,0.2869272951938744,0.692163932237811,0.1866883104335278
27,1.6491231217550346,1.0909781543795152,1.683364536164452,0.2124983660067897,0.37775920928816575,0.8670954650178638,0.5021921641134693,0.27829749360979694,0.7462363478608416,0.1950161868443569
28,1.6609827321088069,1.06874796945876,1.711806594852882,0.19720265943665388,0.3830446871100451,0.857018557605848,0.509997029106023,0.28928857355222104,0.8186333770746256,0.19811230362722262
29,1.7122718088769517,1.0691500447466755,1.7593212074863165,0.18470834230529956,0.3597136908625239,0.8685823815478606,0.552646525202305,0.2823494503646361,0.8919499691545191,0.20920967202471036
30,1.7544621323178717,1.0526656879109582,1.7977381973642956,0.1855241006424554,0.3529443255949824,0.8307207531396875,0.5427381011727908,0.283718098816342,0.9766832142563426,0.21664102412362563
31,1.7736579789414382,1.0436314802968847,1.8270412688222994,0.18606776217607424,0.34928353797307693,0.840949439381441,0.5514132439981521,0.2820183388262959,1.0499658484104533,0.22309802166923687
32,1.7932601089027262,1.0309606190247025,1.8435459354628556,0.1879823761350349,0.35297294370801147,0.8625888916277533,0.5610911087543914,0.28738458377216236,1.1041501142269898,0.22851960992705228
33,1.8205105289062693,1.025384874773439,1.8775182415824208,0.18051273773573012,0.35869572936212424,0.8489066051353495,0.5670007927594979,0.29007139490376177,1.176402665894307,0.23796061128945797
34,1.85062670247654,1.0080664560424475,1.9052304402100628,0.1592279352172079,0.3245260724767298,0.8350866403970889,0.5679121784433245,0.27855326096084243,1.210274198834147,0.2385372088375312
35,1.855274762520216,0.9731236802019035,1.913138782211055,0.17602513594611563,0.28680757636189785,0.834542153555233,0.5897260106835781,0.2679816064847388,1.2446345453646832,0.2438827338677092
36,1.8679281451799894,0.9541530699044471,1.937074749682775,0.16397523833761848,0.2899738755213105,0.7998105836365068,0.5788389633175581,0.28230472825647046,1.337084118293961,0.24417248415864146
37,1.8910784694924156,0.8919816775760101,1.957892858264835,0.15833413077949104,0.28151107411340826,0.7594329357082058,0.5245594592251923,0.29373766898683284,1.4359380842564842,0.24576411454889016
38,1.8581472253594735,0.8619358058076794,1.9328149775324426,0.19116601278586223,0.3021806269652827,0.747077808882885,0.49909412889248606,0.3096169024175299,1.4927149693755937,0.24308621740219888
39,1.85,0.8497480315786069,1.9304639103311174,0.16448266004216205,0.29413629768554855,0.733818021643574,0.4983558827370114,0.32419441729002707,1.5547593922137173,0.24760672630017727
40,1.8433105922209474,0.8399969937416142,1.9300913256249106,0.1839631056555206,0.33166857011788203,0.7022410015389478,0.46880354912987554,0.3059411708155671,1.5823087594085454,0.2611629005162498
