Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,193.7,6.3,6.3,0.0,6.3,6.3,0.0,6.3,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,194.1,5.9,6.3,0.0,6.3,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,194.1,5.9,6.3,0.0,6.3,0.0,0.0,0.0,3.4,2.5,0.0,0.0,0.0,0.0,0.0,0.0
3,196.6,5.9,6.3,0.0,6.3,0.0,0.0,0.0,2.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0
4,196.5,6.0,6.5,0.0,6.5,0.2,0.0,0.2,0.2,5.8,1.6,0.9,0.0,0.0,0.0,0.0
5,199.8,6.0,6.5,0.0,6.5,0.0,0.0,0.0,0.2,5.8,2.1,1.5,0.0,0.0,0.0,0.0
6,199.6,6.2,6.5,0.0,6.5,0.0,0.0,0.0,0.2,6.0,3.8,2.2,0.0,0.0,0.0,0.0
7,198.8,7.0,7.0,0.3,6.7,0.5,0.3,0.2,0.7,6.3,3.9,2.4,0.0,0.0,0.0,0.0
8,199.0,6.8,7.1,0.4,6.7,0.1,0.1,0.0,0.6,6.2,3.7,2.3,0.0,0.0,0.0,0.0
9,199.3,6.7,7.1,0.4,6.7,0.0,0.0,0.0,0.5,6.2,3.7,2.2,0.0,0.0,0.0,0.0
10,199.0,7.0,7.2,0.4,6.8,0.1,0.0,0.1,0.4,6.6,3.8,2.5,0.0,0.0,0.0,0.0
11,199.2,6.8,7.3,0.4,6.9,0.1,0.0,0.1,0.2,6.6,3.8,2.3,0.0,0.0,0.0,0.0
12,199.2,4.4,7.4,0.4,7.0,0.1,0.0,0.1,0.3,4.1,2.3,1.5,2.5,0.0,2.5,0.0
13,198.9,3.6,7.6,0.5,7.1,0.2,0.1,0.1,0.5,3.1,2.1,1.0,3.6,0.0,3.6,0.0
14,198.6,1.3,7.6,0.5,7.1,0.0,0.0,0.0,0.4,0.9,0.5,0.3,6.0,0.0,6.0,0.0
15,198.8,1.5,7.8,0.5,7.3,0.2,0.0,0.2,0.3,1.2,0.5,0.3,6.0,0.0,6.0,0.0
16,198.7,1.7,8.0,0.6,7.4,0.2,0.1,0.1,0.4,1.3,0.6,0.3,6.0,0.0,6.0,0.0
17,198.8,1.7,8.0,0.6,7.4,0.0,0.0,0.0,0.4,1.3,0.7,0.5,6.0,0.0,6.0,0.0
18,199.0,1.6,8.1,0.6,7.5,0.1,0.0,0.1,0.3,1.3,0.7,0.4,6.2,0.0,6.2,0.0
19,199.1,1.5,8.1,0.6,7.5,0.0,0.0,0.0,0.1,1.4,0.6,0.4,6.3,0.1,6.2,0.0
20,198.7,1.5,8.3,0.7,7.6,0.2,0.1,0.1,0.3,1.2,0.7,0.3,6.5,0.2,6.3,0.0
21,198.6,1.2,8.3,0.7,7.6,0.0,0.0,0.0,0.3,0.9,0.6,0.3,6.8,0.4,6.4,0.0
22,198.9,1.2,8.3,0.7,7.6,0.0,0.0,0.0,0.1,1.1,0.6,0.3,6.8,0.4,6.4,0.0
23,199.1,1.2,8.3,0.7,7.6,0.0,0.0,0.0,0.0,1.2,0.6,0.3,6.8,0.4,6.4,0.0
24,199.0,1.1,8.3,0.7,7.6,0.0,0.0,0.0,0.0,1.1,0.6,0.4,6.9,0.4,6.5,0.0
25,199.3,0.8,8.3,0.7,7.6,0.0,0.0,0.0,0.0,0.8,0.6,0.2,7.2,0.4,6.8,0.0
26,199.2,0.8,8.4,0.7,7.7,0.1,0.0,0.1,0.1,0.7,0.5,0.2,7.3,0.5,6.8,0.0
27,199.0,0.8,8.4,0.7,7.7,0.0,0.0,0.0,0.1,0.7,0.5,0.2,7.3,0.5,6.8,0.0
28,198.6,0.7,8.5,0.7,7.8,0.1,0.0,0.1,0.2,0.5,0.3,0.2,7.5,0.6,6.9,0.0
