
Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,199,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,199,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,199,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4,199,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
5,200,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
6,200,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
7,200,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
8,200,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
9,200,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
10,200,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
11,200,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
12,200,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0
13,200,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0
14,200,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
15,200,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
16,200,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
17,200,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
18,200,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
19,198,2,1,1,0,1,1,0,1,1,0,0,2,0,2,0
20,199,1,1,1,0,0,0,0,1,0,0,0,2,0,2,0
21,198,2,1,1,0,0,0,0,1,1,1,0,2,0,2,0
22,199,1,1,1,0,0,0,0,0,1,0,0,2,0,2,0
23,199,1,1,1,0,0,0,0,0,1,0,0,2,0,2,0
24,199,1,1,1,0,0,0,0,0,1,1,0,2,0,2,0
25,199,1,1,1,0,0,0,0,0,1,1,0,2,0,2,0
26,198,2,1,1,0,0,0,0,0,2,2,0,2,0,2,0
