Day,Susceptible,Infected,Cumulative Infected,Cumulative Infected Residents,Cumulative Infected Staff,Daily Infected,Daily Infected Residents,Daily Infected Staff,Incubating,Transmitting,Symptomatic,Asymptomatic,Recovered,Residents Recovered,Staff Recovered,Dead
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1632993161855452,0.16329931618554522,0.0,0.0,0.0,0.0,0.0,0.0,0.16329931618554522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.22110831935702666,0.22110831935702666,0.0,0.0,0.0,0.0,0.0,0.0,0.21343747458109494,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
3,0.15275252316519466,0.22110831935702666,0.0,0.0,0.0,0.0,0.0,0.0,0.15275252316519464,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
4,0.22110831935702666,0.26874192494328497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26874192494328497,0.09999999999999999,0.0,0.0,0.0,0.0,0.0
5,0.0,0.26874192494328497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26874192494328497,0.13333333333333333,0.09999999999999999,0.0,0.0,0.0,0.0
6,0.13333333333333333,0.2603416558635552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2603416558635552,0.21343747458109494,0.22110831935702666,0.0,0.0,0.0,0.0
7,0.0,0.26874192494328497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26874192494328497,0.21343747458109494,0.19999999999999998,0.0,0.0,0.0,0.0
8,0.09999999999999999,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.21343747458109494,0.21343747458109494,0.0,0.0,0.0,0.0
9,0.0,0.26874192494328497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26874192494328497,0.21343747458109494,0.19999999999999998,0.0,0.0,0.0,0.0
10,0.13333333333333333,0.2603416558635552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2603416558635552,0.21343747458109494,0.22110831935702666,0.0,0.0,0.0,0.0
11,0.0,0.26874192494328497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26874192494328497,0.21343747458109494,0.19999999999999998,0.0,0.0,0.0,0.0
12,0.0,0.22110831935702666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22110831935702666,0.13333333333333333,0.19999999999999998,0.09999999999999999,0.0,0.09999999999999999,0.0
13,0.13333333333333333,0.16329931618554522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16329931618554522,0.09999999999999999,0.15275252316519464,0.15275252316519464,0.0,0.15275252316519464,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26874192494328497,0.0,0.26874192494328497,0.0
